"id","group","pre","post"
1,"Control",13,17
2,"Control",8,13
3,"Control",7,13
4,"Control",8,
5,"Control",12,16
6,"Control",0,0
7,"Control",8,13
8,"Control",4,6
9,"Control",2,3
10,"Control",2,4
11,"Online",5,10
12,"Online",14,20
13,"Online",17,20
14,"Online",4,6
15,"Online",10,17
16,"Online",15,16
17,"Online",7,12
18,"Online",7,10
19,"Online",3,1
20,"Online",9,11
21,"Online",6,12
22,"Tutoring",9,
23,"Tutoring",11,19
24,"Tutoring",9,15
25,"Tutoring",11,19
26,"Tutoring",8,18
27,"Tutoring",7,11
28,"Tutoring",8,10
29,"Tutoring",8,11
30,"Tutoring",12,17
