"id","time","score"
"PR23","pre",69
"TY23","pre",82.8
"BQ23","pre",54.6
"EW13","pre",77.7
"FO17","pre",46.3
"IG02","pre",68.3
"IM28","pre",56.5
"KN10","pre",62.3
"WB27","pre",55.2
"ER01","pre",83.8
"QV27","pre",51.5
"QY12","pre",69.7
"AK26","pre",45.2
"IU23","pre",67.6
"WQ19","pre",100
"UN02","pre",73.2
"XL06","pre",49.4
"GC25","pre",58.7
"PR08","pre",30.8
"AD26","pre",75.1
"FC16","pre",64.1
"LU13","pre",61.2
"WQ17","pre",77
"JY18","pre",82.4
"VB02","pre",89.2
"AK11","pre",78.4
"MW13","pre",82.5
"JJ10","pre",55.8
"SJ03","pre",45.3
"KK15","pre",68.2
"YS18","pre",30
"EF27","pre",41.9
"CT25","pre",32.9
"EE25","pre",58.2
"ZG23","pre",95.2
"YX15","pre",66.5
"ML28","pre",84.2
"VF03","pre",65.3
"UI23","pre",86.7
"AJ15","pre",23.3
"RG08","pre",74.9
"DT27","pre",63.9
"VE21","pre",70.2
"KC17","pre",59.5
"AY26","pre",46.8
"CH06","pre",59.5
"SR02","pre",55.3
"YG06","pre",26.1
"UZ24","pre",80.3
"QB22","pre",54.9
"TM08","pre",42.5
"WL06","pre",45.9
"TW14","pre",50.8
"MP19","pre",49.2
"SU26","pre",76.6
"BH15","pre",88.6
"CY03","pre",83.5
"GL28","pre",88.8
"IG10","pre",92.3
"KE11","pre",71.3
"EW14","pre",76.7
"KJ14","pre",57.4
"TM22","pre",68.7
"LF26","pre",68.8
"WF28","pre",51.9
"EX12","pre",72.4
"AO07","pre",57.8
"KI06","pre",68.6
"RI01","pre",61.1
"XJ17","pre",57.1
"BK21","pre",58.4
"MH25","pre",58.4
"KQ10","pre",32
"ZC27","pre",69.9
"DU21","pre",78
"NX03","pre",60.6
"IT02","pre",79.2
"NH10","pre",37.3
"UU22","pre",89.5
"CC18","pre",79.5
"RI01	","post",57.2
"  NW12  ","post",89.7
"EX12	","post",80.9
"TM22","post",64.2
"IG10	","post",92.8
"  IT02  ","post",99.8
"UI23","post",100
"  PR23  ","post",75.9
"GC25","post",60.5
"UU22","post",100
"  NW10  ","post",77.8
"lf26","post",93.7
"  QV27  ","post",56
"EE25	","post",48.5
"SJ03","post",50.8
"  CC18  ","post",86.1
"WB27	","post",62
"IM28","post",67.9
"kq10","post",42.8
"VE21	","post",86
"  VB02  ","post",100
"  BQ23  ","post",64.6
"ct25","post",41.3
"WQ19","post",100
"AJ15","post",18.9
"WQ17","post",80
"ML28","post",73.1
"UN02","post",89.6
"AY26","post",48.1
"ao07","post",73.2
"zc27","post",78
"FC16	","post",68.1
"UZ24","post",86.7
"  XJ17  ","post",67.8
"KC17","post",57.3
"CY03","post",97.7
"KE11	","post",79.7
"KN10","post",63.5
"TY23	","post",88.6
"FO17","post",58.4
"MP19	","post",58.3
"GL28	","post",100
"tw14","post",42.1
"  EW13  ","post",75.4
"BH15","post",96.1
"DT27	","post",64.3
"ef27","post",59
"  SR02  ","post",55.4
"ak26","post",50.9
"pr08","post",38.7
"QB22	","post",70.6
"NW13","post",78.6
"TM08","post",46.3
"  DU21  ","post",74.5
"ER01","post",90.8
"  YS18  ","post",37.9
"  ZG23  ","post",100
"  JY18  ","post",71.3
"  YX15  ","post",63.8
"  CH06  ","post",68.1
"wf28","post",57.8
"  MH25  ","post",50.1
"iu23","post",65.9
"XL06","post",45
"  LU13  ","post",62.7
"ew14","post",85.6
"QY12	","post",74.4
"  KJ14  ","post",66.2
"MW13	","post",76
"un02","post",88.3
"JJ10","post",63.2
"KI06","post",89.8
"  IG02  ","post",73.4
"VF03","post",63.3
"NX03	","post",63.9
"NH10	","post",44.9
"SU26","post",85.6
"RG08	","post",73.8
"AD26","post",77.2
"  YX15  ","post",68.4
"  NW11  ","post",47.1
