"group","pre","interest","post"
"Low",3,3,3
"Low",5,4,5
"Low",1,2,2
"Low",3,3,2
"Low",1,1,1
"Low",2,4,2
"Low",4,3,2
"Low",3,3,3
"Low",2,2,3
"Low",3,3,1
"Low",2,4,2
"Low",2,3,2
"Low",3,5,3
"Low",3,1,3
"Low",2,3,3
"Mid",2,3,4
"Mid",1,2,2
"Mid",2,2,2
"Mid",3,4,4
"Mid",2,3,4
"Mid",2,3,3
"Mid",3,3,3
"Mid",2,3,4
"Mid",2,3,3
"Mid",3,2,3
"Mid",3,2,3
"Mid",2,2,1
"Mid",1,2,2
"Mid",5,3,5
"Mid",2,2,2
"High",2,4,4
"High",2,3,3
"High",1,2,3
"High",4,3,3
"High",1,2,1
"High",4,2,4
"High",4,2,5
"High",3,2,3
"High",3,3,5
"High",2,2,3
"High",4,3,4
"High",1,5,2
"High",4,2,3
"High",4,3,5
"High",4,5,5
