"group","pre","y1","y2","y3"
"Control",43.42,41.58,28.21,29.38
"Control",63.25,40.64,36.86,32.34
"Control",56.63,52.08,42.92,29.81
"Control",65.15,51.48,37.81,42.12
"Control",59.48,46.55,,31.48
"Control",47.06,39.39,31.53,34.39
"Control",51.09,54.9,40.62,36.82
"Control",52.82,49.32,36.22,31.79
"Control",51.49,53.24,42.65,41.06
"Control",59.22,44.37,34.52,31.58
"Control",49.86,44.42,32.33,23.37
"Control",65.46,60.93,41.82,37.07
"Control",47.62,51.46,44.11,30.69
"Control",52.72,52.52,38.07,30.78
"Control",52.61,45.43,36.08,26.31
"Control",42.15,41.83,24.24,23.25
"Peer",40.43,38.58,32.49,
"Peer",60.27,47.37,39.89,36.68
"Peer",45.83,50.04,37.1,31.33
"Peer",43.28,44.79,33.54,28.7
"Peer",54.34,38.37,33.21,26.52
"Peer",54.15,43.45,33.14,30.72
"Peer",60.49,42.42,38.09,29.68
"Peer",59.95,54.44,45.17,40.24
"Peer",50.59,45.87,33.11,25.25
,48.99,49.8,37.88,34
"Peer",37.63,40.12,33.4,22.87
"Peer",55.74,49.95,41.03,31.19
"Peer",42.5,44.89,33.6,30.99
"Peer",49.3,49.27,35.83,34.12
"Peer",54.6,42.56,39.29,34.51
"Peer",48.27,39.66,33.31,27.85
"Peer",65.25,63.01,,42.87
"Peer",47.89,45.87,36.69,31.71
"Peer",55.16,50.19,32.28,29.41
"Peer",58.32,51.06,34.58,27.32
"Tutor",54.1,55.26,35.73,25.97
"Tutor",43.01,45.23,33.4,27.45
"Tutor",55.66,57.84,39.8,29.62
"Tutor",66.32,58.07,44.06,34.79
"Tutor",,45.5,36.05,25.41
"Tutor",42.02,42.61,29.62,26.36
"Tutor",52.51,55.7,38.64,32.42
"Tutor",44.34,37.61,30.07,22.05
"Tutor",54.59,59.29,42.6,30.54
"Tutor",39.57,44.02,35.81,25.63
"Tutor",52.8,49.53,36.24,24.72
"Tutor",60.82,54.89,35.93,32.65
"Tutor",33.43,45.33,32.49,19.65
"Tutor",69.95,54.4,41.32,32.78
"Tutor",63.65,55.98,40.33,33.23
"Tutor",61.51,53.36,36.6,32.47
"Tutor",45.53,50.8,31.74,28.18
"Tutor",50.75,49.62,39.82,30.17
