"group","pre","y1","y2","y3"
"Control",51.9,41.33,32.43,30.23
"Control",63.22,54.59,41.52,35.4
"Control",60.56,49.08,39.56,31.33
"Control",40.29,38.84,34.41,34.64
"Control",43.11,43.01,30.79,27.69
"Control",38.21,42.61,31.49,23.47
"Control",53.53,50.71,38.12,34.42
"Control",55.78,54.51,38.76,28.1
"Control",55.67,42.84,34.73,29.24
"Control",53.82,42.79,39.88,38.21
"Control",41.57,38.43,39.53,31.41
"Control",59.22,50.49,40.42,33.93
"Control",61.46,51.46,37.5,39.49
"Control",54.29,43.51,39.08,29.3
"Control",42.18,39.05,34.8,31.2
"Control",59.29,46.41,32.81,24.07
"Control",48.15,40.97,31.28,25.98
"Control",67.24,54.48,42.29,34
"Control",48.94,41.98,35.97,29.29
"Control",38.79,41.33,32.04,21.62
"Program",50.22,52.75,39.81,34.56
"Program",51.67,41.92,38.73,27.68
"Program",47.21,41.07,33.17,25.37
"Program",51.69,48.07,33.55,22.1
"Program",49.88,44.28,36.14,31.88
"Program",50.42,50.54,37.95,33.44
"Program",53.6,50.64,33.21,27.1
"Program",32.28,41.63,25.05,19.61
"Program",36.16,35.86,21.39,12.8
"Program",39.19,44.29,29.59,25.95
"Program",42.31,45.11,33.49,27.55
"Program",43.01,42.14,34.46,27.32
"Program",50.76,48.78,38.63,29.53
"Program",51.84,47.49,37.6,35.48
"Program",50.74,56.13,37.98,27.04
"Program",42.35,43.91,39.9,28.72
"Program",63.61,53.08,41.85,30.21
"Program",49.83,50.6,39.29,35.04
"Program",60.93,48.44,44.37,32.62
"Program",42.73,42.87,34.62,32.2
"Program",43.89,44.5,34.99,22.18
"Program",46.15,43.34,30.02,23.27
"Program",43.47,50.25,33.13,29.1
"Program",65.91,61.3,36.84,31.48
