"group","pre","post"
"Control",55.43,24.94
"Control",46.38,27.87
"Control",39.37,29.63
"Control",52.74,33.63
"Control",49.43,28.4
"Control",46.94,29.83
"Control",47.2,25.35
"Control",54.53,23.88
"Control",52.06,33.05
"Control",38.81,34.01
"Control",48.7,28
"Control",55.35,28.04
"Control",51.97,28.02
"Control",56.38,34.23
"Control",52.09,24.79
"Control",51.18,26.67
"Control",58.1,29.39
"Control",60.43,33.82
"Control",48.79,30.95
"Control",47.83,29.03
"Peer",39.57,54.14
"Peer",58.22,64.42
"Peer",54.68,62.41
"Peer",63.2,74.18
"Peer",74.61,82.54
"Peer",35.86,50.68
"Peer",54.44,64.17
"Peer",43.07,51.69
"Peer",62.21,70.41
"Peer",60.95,61.61
"Peer",62.14,63.25
"Peer",54.25,66.43
"Peer",32.46,44.54
"Peer",53.67,63.68
"Peer",50.8,55.03
"Peer",46.98,63.93
"Peer",44.56,59.66
"Peer",44.68,57.72
"Peer",62.29,73.17
"Peer",64.36,71.67
"Tutor",41.14,80.57
"Tutor",51.76,86.1
"Tutor",61.98,103.08
"Tutor",48.72,94.89
"Tutor",46.54,94.89
"Tutor",49.58,90.18
"Tutor",39.61,81.84
"Tutor",57.28,102.17
"Tutor",54.37,95.83
"Tutor",44.4,89.86
"Tutor",47.5,88.69
"Tutor",50.38,86.71
"Tutor",40.29,78.68
"Tutor",48.03,89.79
"Tutor",37.21,71.6
"Tutor",38.52,71.57
"Tutor",59.58,100.85
"Tutor",53.13,93.8
"Tutor",33.8,74.41
"Tutor",58.8,96.97
