"group","pre","post"
"Control",67.02,58.07
"Control",60.57,48.43
"Control",50.16,48.52
"Control",49.73,43.19
"Control",65.33,56.8
"Control",52.19,44.26
"Control",49.19,44.2
"Control",61.63,59.78
"Control",44.66,35.93
"Control",64.01,55.76
"Control",47.79,48.65
"Control",46.57,46.57
"Peer",61.59,52.51
"Peer",71.71,65.75
"Peer",67.44,58.13
"Peer",72.97,63.41
"Peer",54,55.55
"Peer",75.09,70.53
"Peer",69.78,70.18
"Peer",51.97,54.73
"Peer",63.34,54.13
"Peer",54.88,50.4
"Peer",53.59,46.22
"Peer",48.1,53.83
"Peer",53.6,50.18
"Peer",43.82,45.08
"Peer",65.72,62.78
"Peer",55.44,50.62
"Peer",64.14,57.23
"Peer",62.66,49.92
"Tutor",61.04,57.17
"Tutor",77.98,64.5
"Tutor",67.85,59.6
"Tutor",67.9,60.61
"Tutor",54,58.79
"Tutor",71.26,66.98
"Tutor",65.65,63.69
"Tutor",57.11,63.22
"Tutor",48.77,45.91
"Tutor",60.21,58.1
"Tutor",64.67,57.86
"Tutor",73.83,67.19
"Tutor",56.39,57.23
"Tutor",58.74,58.98
"Tutor",81.22,75.99
"Tutor",54.95,52.51
"Tutor",61.07,56.39
"Tutor",65.62,56.92
"Tutor",72.1,67.28
"Tutor",70.11,64.76
"Tutor",70.53,61.97
"Tutor",66.98,67.93
"Tutor",54.4,56.69
"Tutor",67.94,66.62
"Tutor",65.01,57.88
