"group","pre","post"
"Control",56.17,45.49
"Control",49.62,42.77
"Control",37.48,33.9
"Control",50.57,39.24
"Control",67.29,50.36
"Control",48.84,39.02
"Control",40.67,31.72
"Control",46.71,37.35
"Control",32.42,33.32
"Control",57.79,45.53
"Control",52.12,43.54
"Control",52.2,44.61
"Control",50.25,41.08
"Control",29.75,22.43
"Control",45.86,41.29
"Control",58.57,41.98
"Control",34.3,26.53
"Control",47.88,32.3
"Control",44.65,36.96
"Control",41.99,32.59
"Program",52.4,47.65
"Program",53.82,42.86
"Program",48.55,41.66
"Program",45.72,48.39
"Program",49.45,41.5
"Program",47.36,38.13
"Program",47.06,38.62
"Program",53.49,44.02
"Program",62.63,57.52
"Program",55.9,49.32
"Program",45.41,39.33
"Program",39.88,37.76
"Program",50.93,49.4
"Program",59.94,53.6
"Program",48.82,44.8
"Program",45.98,44.53
"Program",45.71,46.69
"Program",51.09,42.83
"Program",51.09,42.43
"Program",54.45,50.31
