"group","pre","post","gpa"
"Control",56.91,56.58,3.63
"Control",54.23,48.97,2.97
"Control",42.24,42.38,3.33
"Control",55.34,46.44,2.87
"Control",62.01,51.31,3.39
"Control",58.26,50.11,2.58
"Control",54.77,50.57,2.84
"Control",43.4,46.52,2.88
"Control",65.22,58.56,3.78
"Control",60.45,49.66,3.03
"Control",51.63,45.84,2.58
"Control",46.59,45.43,3.14
"Control",34.25,30.18,3.36
"Control",51.17,36.98,1.97
"Control",59.35,49.21,2.79
"Control",53.29,52.37,4.22
"Control",45.87,46.37,2.88
"Control",28.22,41.17,2.8
"Control",48.73,45.35,2.68
"Control",48.76,45.99,2.31
"Peer",33.97,39.14,3.16
"Peer",41.26,46.47,2.16
"Peer",55.33,54.8,3.61
"Peer",58.01,44.74,2.32
"Peer",46.84,54.97,3.12
"Peer",51.46,51.15,2.75
"Peer",47.37,46.52,2.72
"Peer",56.85,59.57,3.78
"Peer",46.04,53.58,2.9
"Peer",41.31,38.19,1.15
"Peer",49.14,46.91,3.05
"Peer",52.89,48.03,2.75
"Peer",44.37,43.99,3.31
"Peer",43.78,53.29,3.22
"Peer",50.29,53.46,3.36
"Peer",44.94,46.37,3.5
"Peer",46.15,43.48,2.89
"Peer",46.04,51.89,3.8
"Peer",41.7,39.74,1.74
"Peer",67.22,60.27,2.91
"Tutor",51.66,50.79,2.28
"Tutor",42.31,53.5,2.5
"Tutor",55.68,52.37,2.58
"Tutor",51.39,61.3,3.19
"Tutor",56.57,55.98,2.15
"Tutor",64.68,57.98,2.76
"Tutor",60.94,55.97,3.38
"Tutor",48.61,49.1,3.53
"Tutor",60.85,61.74,3.81
"Tutor",52.88,50.82,3.72
"Tutor",51.31,55.5,3.17
"Tutor",52.39,56.6,3.15
"Tutor",63.01,54.26,2.62
"Tutor",53.21,58.9,3.12
"Tutor",47.17,46.14,2.71
"Tutor",43.6,57.81,3.57
"Tutor",49.47,52.4,2.65
"Tutor",35.65,42.88,2.86
"Tutor",56.1,56.04,3.5
"Tutor",46.41,52.22,3.26
