"group","y"
"Grade 5",62.02
"Grade 5",61.08
"Grade 5",56.73
"Grade 5",51.9
"Grade 5",52.54
"Grade 5",57.89
"Grade 5",59.59
"Grade 5",58.56
"Grade 6",65.58
"Grade 6",61.11
"Grade 6",54.94
"Grade 6",56.2
"Grade 6",56.6
"Grade 6",72.77
"Grade 6",65.35
"Grade 6",64.57
"Grade 6",68.66
"Grade 6",62.12
"Grade 6",63.22
"Grade 6",59.59
"Grade 6",68.41
"Grade 6",72.57
"Grade 7",70.76
"Grade 7",68.46
"Grade 7",60
"Grade 7",31.38
"Grade 7",67.59
"Grade 7",63.3
"Grade 7",49.11
"Grade 7",52.74
"Grade 7",37.16
"Grade 7",56.73
"Grade 7",72.73
"Grade 7",83.73
"Grade 7",51.31
"Grade 7",68.19
"Grade 7",47.14
"Grade 7",63.17
"Grade 7",73.8
"Grade 7",47.44
"Grade 7",42.96
"Grade 7",54.16
"Grade 7",58.04
"Grade 8",76.92
"Grade 8",47.67
"Grade 8",66.07
"Grade 8",56.13
"Grade 8",68.45
"Grade 8",41.28
"Grade 8",82.75
"Grade 8",66.98
"Grade 8",48.4
"Grade 8",62.27
"Grade 8",76.32
"Grade 8",71.88
"Grade 8",49.39
"Grade 8",107.74
"Grade 8",52.52
"Grade 8",99.3
"Grade 8",64.61
"Grade 8",80.2
"Grade 8",65.25
"Grade 8",39.34
"Grade 8",84.32
"Grade 8",58.95
"Grade 8",71.82
"Grade 8",71.17
"Grade 8",49.69
"Grade 8",55.9
"Grade 8",66.68
"Grade 8",101.04
"Grade 8",93.45
"Grade 8",76.63
