"group","y"
"Control",54.35
"Control",55.76
"Control",
"Control",40.59
"Control",46.37
"Control",56.96
,50.93
"Control",48.69
"Control",53.66
"Control",47.9
"Control",
"Control",44.26
"Control",52.49
"Control",54.64
"Control",52.47
"Control",55.2
"Control",48.51
"Control",54.55
"Peer",53.27
"Peer",
"Peer",62.55
"Peer",57.79
"Peer",63.17
"Peer",60.47
"Peer",53.67
"Peer",57.68
"Peer",43.45
"Peer",50.39
"Peer",
"Peer",53.01
"Peer",63.65
"Peer",66.32
"Peer",56.32
"Peer",53.56
"Peer",52.53
"Peer",54.01
"Tutor",45.26
,50.13
"Tutor",41.1
"Tutor",59.44
"Tutor",42.85
"Tutor",56.01
"Tutor",53.54
"Tutor",
"Tutor",58.71
"Tutor",43.97
"Tutor",46.6
"Tutor",49.1
"Tutor",51.25
"Tutor",53.76
"Tutor",49.56
"Tutor",50.77
"Tutor",45.03
"Tutor",42.79
