"id","time","score"
"S21",3,62.51
"S10",1,62.83
"S14",2,55.58
"S20",2,63.54
"S14",1,47.52
"S11",3,57.26
"S14",3,55.7
,2,49.25
"S19",2,56.05
"S17",2,
"S08",1,52.17
"S01",1,68.82
"S18",3,55.51
"S99",1,51.5
"S18",1,45.36
"S23",3,66.22
"S11",2,55.81
"S24",1,44.04
"S08",2,54.22
"S15",1,60.81
"S13",2,66.99
"S02",3,44.35
"S23",1,63.24
"S02",1,43.56
"S15",3,64.99
"S11",1,50.46
"S07",1,51.01
"S04",3,47.22
"S21",1,53.47
"S01",3,66.26
"S06",1,43.21
"S22",3,60.18
"S04",2,
"S16",2,58.63
"S06",3,47.09
"S07",3,59.24
"S22",2,60.03
"S15",2,66.55
"S24",2,40.98
"S17",3,42.49
"S05",2,48.64
"S04",1,49.89
"S01",2,67.13
"S03",1,48.84
"S05",3,45.62
"S08",3,63.99
"S21",2,63.08
"S06",2,54.14
"S12",3,69.73
"S16",3,56.59
"S13",1,67.68
"S03",2,47.78
"S07",2,60.38
"S16",1,54.07
"S20",3,58.35
"S10",2,67.41
"S12",2,65.7
"S24",3,44.38
"S10",3,68.16
"S09",1,51.36
"S18",2,55.59
"S23",2,62.57
"S20",1,50.68
"S03",3,44.28
"S22",1,52.63
"S02",2,49.54
"S19",1,48.83
"S05",1,40.24
"S19",3,61.51
"S09",2,47.64
"S17",1,49.51
"S12",1,64.05
"S13",3,65.52
