"id","pre","mid","post"
"S01",68.82,67.13,66.26
"S02",43.56,49.54,44.35
"S03",48.84,47.78,44.28
"S04",49.89,,47.22
"S05",40.24,48.64,45.62
"S06",43.21,54.14,47.09
"S07",51.01,60.38,59.24
"S08",52.17,54.22,63.99
"S09",51.36,47.64,
"S10",62.83,67.41,68.16
"S11",50.46,55.81,57.26
"S12",64.05,65.7,69.73
"S13",67.68,66.99,65.52
"S14",47.52,55.58,55.7
"S15",60.81,66.55,64.99
"S16",54.07,58.63,56.59
"S17",49.51,,42.49
"S18",45.36,55.59,55.51
"S19",48.83,56.05,61.51
"S20",50.68,63.54,58.35
"S21",53.47,63.08,62.51
"S22",52.63,60.03,60.18
"S23",63.24,62.57,66.22
"S24",44.04,40.98,44.38
