"id","week","score"
"P15",2,43.26
"P16",4,40.88
"P24",3,45.02
"P24",1,39.76
"P12",5,50.64
"P26",1,44.09
"P08",5,48.77
"P19",5,39.56
"P11",2,50.08
"P28",3,37.25
"P20",2,40.73
"P19",2,37.5
"P17",4,39.78
"P17",1,37.83
"P24",4,47.65
"P15",4,53.19
"P02",2,42.75
"P13",5,54.49
"P17",5,47.76
"P10",3,39.89
"P18",2,37.34
"P05",3,46.42
"P03",4,29.41
"P05",5,55.98
"P06",3,44.29
"P11",3,52.79
"P14",5,51.21
"P04",5,45.6
"P07",3,44.32
"P01",3,52.73
"P07",2,40.91
"P28",4,38.53
"P03",2,31.85
"P22",3,42.58
"P26",2,42.98
"P07",4,
"P02",4,44.01
"P19",1,36.51
"P18",3,38.71
"P06",1,38.72
"P08",3,38.86
"P25",2,40.3
"P08",4,41.17
"P14",2,42.23
"P12",1,39.16
"P14",1,37.73
"P16",1,40.3
"P04",1,36.38
"P10",5,46.06
"P27",2,40.54
"P06",4,43.51
"P04",3,37.33
"P10",4,42.37
"P19",4,36.06
"P04",4,40.8
"P11",1,45.51
"P18",1,41.89
"P02",1,36.71
"P21",1,47.01
"P17",3,35.91
"P21",3,45.83
"P26",5,56.73
"P22",5,48.62
"P09",2,36.19
"P25",3,40.42
"P29",1,34.37
"P04",2,34.51
"P02",5,47.96
"P13",4,49.9
"P23",2,43.06
"P20",3,41.75
"P24",5,47.31
"P30",5,60.56
"P16",2,39.62
"P28",2,37.74
"P15",3,51.95
"P30",4,52.01
"P22",2,42
"P27",4,56.56
"P13",3,46.52
"P14",3,48.56
"P05",4,50.9
"P01",4,58.05
"P01",1,42.48
"P21",5,51.4
"P13",1,38.99
"P15",5,65.12
"P03",5,36.85
"P23",3,47.62
"P25",1,41.98
"P02",3,45.03
"P10",1,36.89
"P16",5,44.32
"P21",4,46.63
"P22",4,46.14
"P28",1,36.37
"P25",5,37.85
"P27",5,60.56
"P22",1,40.38
"P30",2,42.12
"P10",2,41.28
"P20",5,39.15
"P30",1,38.6
"P12",4,44.25
"P08",2,39.32
"P05",1,39.7
"P20",4,39.39
"P01",2,45.64
"P13",2,45.28
"P16",3,40.73
"P18",4,37.28
"P29",3,33.17
"P09",1,34.56
"P23",1,43.57
"P21",2,43.07
"P28",5,43.93
"P05",2,40.89
"P06",5,47.84
"P29",4,32.25
"P18",5,41
"P15",1,36.93
"P25",4,41.34
"P03",1,34.88
"P29",2,31.9
"P29",5,39.07
"P27",3,52.71
"P09",3,38.36
"P12",3,43.58
"P11",5,53.56
"P19",3,38.02
"P30",3,47.36
"P14",4,46.51
"P27",1,41.06
"P17",2,38.73
"P12",2,43.63
"P23",5,45.86
"P07",5,51.69
"P24",2,42.2
"P11",4,53.03
"P03",3,29.96
"P09",5,48.14
"P26",3,51.45
"P09",4,40.56
"P23",4,45.03
"P08",1,40.57
"P07",1,33.94
"P26",4,54.68
"P20",1,42.11
"P06",2,43.56
"P01",5,61.9
