"id","w1","w2","w3","w4","w5"
"P01",42.48,45.64,52.73,58.05,61.9
"P02",36.71,42.75,45.03,44.01,47.96
"P03",34.88,31.85,29.96,29.41,36.85
"P04",36.38,34.51,37.33,40.8,45.6
"P05",39.7,40.89,46.42,50.9,55.98
"P06",38.72,43.56,44.29,43.51,47.84
"P07",33.94,40.91,44.32,47.83,51.69
"P08",40.57,39.32,38.86,41.17,48.77
"P09",34.56,36.19,38.36,40.56,48.14
"P10",36.89,41.28,39.89,42.37,46.06
"P11",45.51,50.08,52.79,53.03,53.56
"P12",39.16,43.63,43.58,44.25,50.64
"P13",38.99,45.28,46.52,49.9,54.49
"P14",37.73,42.23,48.56,46.51,51.21
"P15",36.93,43.26,51.95,53.19,65.12
"P16",40.3,39.62,40.73,40.88,44.32
"P17",37.83,38.73,35.91,39.78,47.76
"P18",41.89,37.34,38.71,37.28,41
"P19",36.51,37.5,38.02,36.06,39.56
"P20",42.11,40.73,41.75,39.39,39.15
"P21",47.01,43.07,45.83,46.63,51.4
"P22",40.38,42,42.58,46.14,48.62
"P23",43.57,43.06,47.62,45.03,45.86
"P24",39.76,42.2,45.02,47.65,47.31
"P25",41.98,40.3,40.42,41.34,37.85
"P26",44.09,42.98,51.45,54.68,56.73
"P27",41.06,40.54,52.71,56.56,60.56
"P28",36.37,37.74,37.25,38.53,43.93
"P29",34.37,31.9,33.17,32.25,39.07
"P30",38.6,42.12,47.36,52.01,60.56
