"group","y"
"Control",70.15
"Control",66.28
"Control",62.99
"Control",66.78
"Control",67.35
"Control",79.56
"Control",70.48
"Control",71.01
"Control",74.44
"Control",81.87
"Control",71.77
"Control",56.33
"Control",72.58
"Control",76.4
"Control",63.82
"Control",61.35
"Control",76.71
"Control",76.21
"Control",66.01
"Control",56.29
"Peer",74.17
"Peer",88.21
"Peer",89.22
"Peer",84.94
"Peer",89.86
"Peer",81.38
"Peer",75.82
"Peer",71.72
"Peer",79.28
"Peer",69.7
"Peer",59.53
"Peer",68
"Peer",66.91
"Peer",73.51
"Peer",80.68
"Peer",72.06
"Peer",71.66
"Peer",76.03
"Peer",84.56
"Peer",66.37
"Tutor",71.82
"Tutor",76.49
"Tutor",73.12
"Tutor",77.19
"Tutor",72.05
"Tutor",76.19
"Tutor",97.92
"Tutor",84.56
"Tutor",83.38
"Tutor",88.58
"Tutor",89.39
"Tutor",81.29
"Tutor",86.69
"Tutor",75.59
"Tutor",68.71
"Tutor",84.94
"Tutor",82
"Tutor",73.28
"Tutor",81.4
"Tutor",72.83
