"group","y"
"Low",5
"Low",1
"Low",3
"Low",4
"Low",4
"Low",3
"Low",1
"Low",3
"Low",2
"Low",4
"Low",4
"Low",1
"Low",2
"Low",2
"Low",3
"Low",1
"Low",2
"Low",1
"Low",2
"Low",2
"Low",3
"Low",4
"Low",1
"Low",2
"Low",1
"Mid",3
"Mid",5
"Mid",3
"Mid",4
"Mid",3
"Mid",5
"Mid",3
"Mid",3
"Mid",4
"Mid",3
"Mid",3
"Mid",3
"Mid",2
"Mid",2
"Mid",5
"Mid",4
"Mid",3
"Mid",1
"Mid",3
"Mid",4
"Mid",3
"Mid",4
"Mid",3
"Mid",4
"Mid",3
"High",3
"High",4
"High",5
"High",5
"High",5
"High",4
"High",4
"High",2
"High",3
"High",5
"High",2
"High",4
"High",5
"High",1
"High",3
"High",5
"High",3
"High",5
"High",4
"High",4
"High",3
"High",4
"High",3
"High",3
"High",5
