"group","passed"
"Control","Yes"
"Treatment","Yes"
"Treatment","Yes"
"Treatment","Yes"
,"Yes"
"Control","Yes"
"Treatment","Yes"
"Control","Yes"
"Treatment","Yes"
"Control","Yes"
"Control","No"
"Treatment","Yes"
"Treatment","Yes"
"Control",
"Control","No"
"Control","Yes"
"Treatment","Yes"
"Control","Yes"
"Treatment","Yes"
"Treatment","No"
"Treatment","No"
"Treatment","Yes"
"Treatment","Yes"
"Control","Yes"
"Control","No"
"Treatment","Yes"
"Control","Yes"
"Treatment","Yes"
"Treatment","Yes"
"Treatment","No"
"Treatment","Yes"
"Control","No"
"Treatment",
"Control","No"
"Treatment","Yes"
"Treatment","Yes"
"Control","Yes"
"Treatment","Yes"
"Control","No"
"Control","Yes"
"Treatment","Yes"
"Treatment","No"
"Treatment","No"
"Control","No"
"Control","Yes"
"Control","No"
"Treatment","Yes"
"Control","No"
"Treatment","Yes"
"Control","Yes"
"Control","No"
"Treatment","Yes"
"Control","Yes"
"Control","No"
"Control","No"
"Treatment","No"
"Control","Yes"
"Treatment","Yes"
"Control","Yes"
,"Yes"
"Treatment","Yes"
"Treatment","Yes"
"Control","Yes"
"Treatment","Yes"
"Treatment","Yes"
"Treatment","Yes"
"Control","No"
"Treatment","No"
"Treatment","Yes"
"Control","No"
"Control",
"Treatment","Yes"
"Treatment","Yes"
"Control","No"
"Treatment","Yes"
"Control","Yes"
"Treatment","Yes"
"Treatment","Yes"
"Control","No"
"Control","Yes"
"Treatment","No"
"Treatment","No"
"Treatment","Yes"
"Control","Yes"
"Control","No"
"Control","Yes"
"Control","No"
"Treatment","Yes"
"Control","No"
"Treatment","No"
