"x","y","z","w","group"
60.339,26.929,1.568,129.724,"Control"
57.73,22.312,-1.041,96.16,"Treatment"
56.776,18.168,1.157,107.697,"Control"
51.398,18.649,-0.226,69.084,"Treatment"
41.31,20.453,0.298,120.791,"Control"
64.152,18.912,0.406,71.246,"Treatment"
40.233,22.314,0.019,102.481,"Control"
53.748,27.932,0.238,119.642,"Treatment"
43.812,22.705,-2.235,79.962,"Control"
32.17,19.373,-1.215,111.385,"Control"
57.063,24.32,0.559,109.08,"Treatment"
42.115,12.159,-1.027,96.063,"Control"
72.086,32.533,1.609,84.442,"Treatment"
55.918,26.756,-0.546,112.614,"Treatment"
50.15,16.788,-0.544,88.106,"Control"
59.161,27.5,2.747,104.103,"Treatment"
60.305,25.791,0.452,95.736,"Treatment"
42.248,8.679,-1.936,129.625,"Control"
61.445,26.165,0.388,86.393,"Treatment"
63.409,27.656,1.62,113.167,"Treatment"
57.847,15.855,-0.086,105.202,"Treatment"
63.088,26.503,1.092,100.503,"Treatment"
63.453,21.603,1.324,108.971,"Treatment"
54.439,17.944,-0.18,93.151,"Treatment"
43.81,18.966,-0.491,78.331,"Control"
65.92,26.672,1.764,90.566,"Treatment"
64.393,24.837,1.017,115.571,"Treatment"
44.823,15.039,-1.344,113.583,"Control"
49.936,20.641,-0.085,77.907,"Control"
39.129,15.401,-0.987,105.544,"Control"
57.817,18.692,0.129,81.984,"Treatment"
41.407,16.091,-1.155,107.806,"Control"
64.199,22.14,0.543,118.415,"Treatment"
39.377,18.932,-0.981,109.089,"Control"
52.69,20.129,-0.395,86.623,"Control"
41.421,17.791,-2.129,108.718,"Control"
36.366,11.443,-0.748,101.264,"Control"
64.032,26.435,1.242,109.826,"Treatment"
46.376,20.883,1.136,96.594,"Treatment"
55.85,23.542,0.919,109.264,"Treatment"
30.012,12.905,-1.497,96.149,"Control"
51.74,15.142,-0.36,92.987,"Treatment"
57.239,21.954,0.671,106.429,"Treatment"
64.986,23.887,1.413,89.81,"Treatment"
69.002,25.496,1.464,131.688,"Treatment"
55.999,26.62,0.962,120.749,"Treatment"
47.579,18.5,0.133,121.086,"Control"
47.941,19.32,-0.184,83.437,"Control"
35.801,13.621,-0.672,89.626,"Control"
33.972,20.232,-1.347,93.727,"Control"
46.154,20.706,-0.413,95.518,"Control"
54.259,23.204,-0.384,90.551,"Treatment"
65.874,20.245,1.227,100.255,"Treatment"
61.292,26.338,1.48,100.843,"Treatment"
64.834,22.32,0.357,135.484,"Treatment"
49.077,21.336,-0.815,111.479,"Treatment"
28.111,17.088,-2.879,110.243,"Control"
39.632,14.743,-0.667,105.253,"Control"
60.313,19.757,0.622,105.208,"Treatment"
51.427,15.77,-0.005,91.415,"Treatment"
