"x","y","z","w","group"
49.9,26.26,-0.86,1.22,"B"
45.51,17.63,,-0.18,"A"
61.25,23.49,-0.49,-0.3,"B"
,12.78,-1.19,0.43,"B"
46.77,21.08,-1.19,,"A"
27.69,15.8,-1.02,,"B"
46.29,22.63,2.32,1.21,"B"
54.34,,1.28,1.15,"B"
48.3,17.17,1.73,-0.7,"B"
54.27,12.88,-0.32,-1.27,"A"
56.82,24.04,-1,0.51,"B"
47.14,17.93,-0.31,-0.44,
55.93,30.98,0.95,0.85,"A"
35.29,28.18,0.45,0.95,"B"
56.68,24.8,0.76,-0.51,"B"
48.98,22.67,-0.44,3.48,"A"
,,-0.19,1.13,"B"
45.77,14.43,1.26,-1.93,"B"
73.52,21.34,2.08,-0.25,"B"
38.98,16.13,-0.66,-0.61,"B"
62.24,20.34,-1.99,-2.42,"B"
60.69,23.81,0.41,0.32,"B"
51.79,17.86,0.36,-0.04,"A"
50.65,16.1,-0.43,-0.98,"A"
52.64,17.67,0.51,0.97,"B"
42.43,15.75,2.17,0.22,"B"
62.03,23.45,0.22,-0.94,"A"
57.27,17,0.95,-1.74,"A"
47.72,21.32,-0.5,-0.71,"B"
,24.95,1.82,-1.8,"A"
57.59,23.78,-0.41,-1.06,"B"
47.87,16.7,0.28,0.32,"B"
47.39,24.08,,-0.2,"B"
52.35,24.29,-0.49,-0.07,"B"
37.92,15.02,0.21,-0.12,"B"
25.96,15.87,0.49,-0.26,"B"
49.96,9.32,-0.49,-3.01,"A"
45.13,17.54,1.21,-1.66,"B"
59.26,23.68,0.88,0.68,"B"
52.44,20.07,0.24,0.01,
49.71,,0.84,1.36,"A"
56.1,21.52,1.01,-1.13,"A"
54.71,27.08,-0.66,0.57,"B"
56.26,27.62,1.61,1.17,"A"
68.52,21.02,-1.3,-0.47,"A"
