"a","b","c","d","passed"
2,3,3,2,"No"
2,2,2,3,"No"
4,4,2,4,"Yes"
3,3,4,4,"Yes"
3,2,1,3,"Yes"
4,5,4,4,"Yes"
4,5,5,4,"No"
4,3,3,5,"Yes"
5,5,4,4,"No"
3,2,3,3,"Yes"
5,4,4,5,"No"
2,2,1,4,"Yes"
3,3,2,4,"Yes"
3,3,3,2,"No"
3,4,3,3,"Yes"
3,1,1,2,"Yes"
3,4,3,4,"No"
3,2,2,4,"Yes"
4,4,4,2,"Yes"
2,2,3,3,"No"
1,3,3,2,"Yes"
4,3,3,4,"No"
2,5,4,2,"Yes"
3,3,1,4,"No"
5,4,5,3,"Yes"
2,3,3,4,"Yes"
1,2,1,3,"No"
3,2,2,3,"No"
3,3,2,2,"Yes"
4,3,4,3,"No"
4,4,4,4,"No"
1,2,1,4,"Yes"
2,3,2,3,"No"
3,2,3,1,"Yes"
3,4,2,3,"Yes"
3,2,3,2,"No"
3,4,3,3,"Yes"
3,2,3,2,"No"
2,3,2,3,"No"
3,2,3,2,"No"
