"score","method","gender"
62.62,"Active","Female"
78.5,"Active","Female"
64.51,"Lecture","Female"
65.24,"Lecture","Male"
60.26,"Active","Male"
73.15,"Lecture","Male"
81.5,"Active","Male"
69.32,"Active","Male"
75.85,"Active","Male"
75.93,"Active","Male"
70.2,"Lecture","Male"
60.39,"Lecture","Male"
66.99,"Active","Male"
65.74,"Lecture","Male"
65.94,"Lecture","Female"
68.21,"Lecture","Male"
71.59,"Lecture","Female"
65.68,"Lecture","Female"
73.41,"Lecture","Female"
70.38,"Active","Male"
77.95,"Lecture","Male"
70.35,"Lecture","Female"
67.77,"Lecture","Female"
93.13,"Active","Female"
70.06,"Lecture","Male"
84.82,"Active","Female"
71.3,"Lecture","Female"
70.21,"Lecture","Male"
56.28,"Active","Male"
66.98,"Lecture","Female"
83.4,"Active","Female"
72.15,"Active","Male"
65.5,"Lecture","Male"
69.84,"Active","Female"
74.22,"Active","Male"
77.67,"Active","Female"
67.05,"Active","Female"
76.98,"Active","Female"
79.3,"Lecture","Female"
75.12,"Active","Female"
