"score","method","grade"
61.15,"Lecture","G7"
52.37,"Lecture","G6"
,"Lecture","G8"
67.05,"Active","G6"
64.68,"Lecture","G7"
50.13,"Active","G6"
71.59,"Active","G6"
45.01,,"G7"
71.5,"Active","G7"
61.34,"Lecture","G6"
60.05,"Lecture","G6"
73.92,"Active","G8"
78.02,"Active","G8"
53.55,"Lecture","G6"
63.33,"Active","G8"
80.75,"Active","G8"
,"Active","G8"
64.41,"Lecture","G8"
67.03,"Lecture","G6"
50.36,"Lecture","G7"
61.45,"Lecture","G8"
61.06,"Active","G7"
62.37,"Lecture","G6"
57.45,"Lecture","G8"
70.78,,"G8"
60.57,"Active","G6"
55.72,"Lecture","G8"
52.4,"Active","G6"
69.18,"Active","G8"
65.37,"Active","G7"
60.14,"Lecture","G6"
66.41,"Active","G8"
63.29,"Lecture",
73.18,"Active","G7"
59.07,"Lecture","G6"
65.98,"Lecture","G6"
71.46,"Lecture","G8"
64.32,"Active","G8"
66.06,"Active","G6"
,"Lecture","G6"
58.94,"Active","G6"
66.86,"Active","G7"
64.45,"Active","G8"
63.33,"Lecture","G7"
56.4,"Lecture","G6"
73.73,"Active","G8"
63.26,"Active","G7"
71.13,"Active","G7"
72.93,"Active","G8"
67.08,"Lecture","G8"
51.86,"Active","G6"
70.83,"Active","G7"
74.12,"Active","G7"
53.01,"Active","G7"
77.73,"Active","G8"
65.1,"Lecture","G6"
67.16,"Active","G7"
60.4,"Lecture","G7"
75.62,"Active","G8"
75.05,"Active","G8"
64.65,"Lecture","G8"
66.93,"Active","G8"
57.66,"Lecture","G6"
63.09,"Lecture","G7"
66.05,"Active","G6"
63.74,"Lecture","G6"
69.22,"Active","G7"
47.31,"Lecture","G7"
