"score","method","school"
9.56,"A","North"
13.77,"A","West"
15.15,"B","West"
15.71,"B","South"
14.71,"C","North"
14.7,"B","West"
11.21,"B","North"
15.61,"B","North"
8.57,"B","South"
10.86,"C","North"
15.03,"C","South"
10.29,"C","South"
13.72,"B","North"
12.14,"C","West"
16.55,"C","North"
17.81,"C","North"
13.03,"C","South"
12.88,"C","West"
10.75,"A","South"
11.83,"B","West"
11.05,"A","West"
18.35,"C","North"
7.42,"B","North"
11.99,"A","West"
10.6,"B","South"
15.37,"A","West"
11.05,"A","North"
13.04,"C","West"
10.21,"A","North"
9.86,"A","North"
5.65,"A","North"
11.17,"A","South"
15.93,"B","West"
6.6,"A","South"
6.77,"A","South"
13.8,"C","South"
13.74,"C","West"
7.42,"A","West"
15.23,"B","South"
14.08,"C","South"
9.88,"B","North"
14.91,"C","West"
11.76,"B","South"
9.83,"A","South"
13.59,"B","West"
