"score","method","grade"
63.02,"Active","G6"
53.07,"Lecture","G6"
65.37,"Lecture","G7"
64.3,"Active","G8"
55.97,"Active","G7"
58.42,"Active","G6"
51.52,"Active","G7"
64.29,"Lecture","G6"
61.28,"Active","G8"
56.61,"Active","G6"
63.85,"Active","G8"
62.4,"Active","G7"
61.73,"Active","G8"
62.26,"Lecture","G7"
55.08,"Active","G7"
58.79,"Lecture","G7"
61.15,"Active","G8"
60.38,"Active","G8"
52.26,"Lecture","G6"
62.88,"Lecture","G7"
66.08,"Active","G6"
59.92,"Active","G7"
48.92,"Lecture","G6"
69.96,"Active","G6"
56.28,"Active","G6"
58.97,"Lecture","G6"
58.78,"Lecture","G7"
53.27,"Lecture","G7"
68.57,"Lecture","G6"
67.13,"Active","G7"
