"rating","method","grade"
5,"Active","G6"
5,"Active","G7"
2,"Lecture","G6"
3,"Lecture","G8"
4,"Lecture","G6"
3,"Lecture","G6"
3,"Active","G7"
3,"Lecture","G7"
4,"Lecture","G7"
1,"Active","G8"
,"Active","G8"
3,"Active","G6"
3,"Lecture","G8"
4,"Active","G7"
3,"Lecture","G8"
4,"Active","G7"
3,"Lecture","G8"
1,"Lecture","G7"
4,"Lecture","G8"
2,"Active","G8"
3,"Lecture","G7"
2,"Lecture","G6"
5,"Active","G7"
3,"Lecture","G7"
4,"Active","G8"
3,"Lecture","G8"
5,"Active","G7"
3,"Active","G6"
3,"Active","G6"
5,"Lecture","G7"
3,"Lecture","G7"
2,"Lecture","G6"
4,"Active","G8"
4,"Lecture","G8"
3,"Active","G7"
3,"Lecture","G8"
4,"Lecture","G6"
2,"Lecture","G6"
3,"Active","G6"
4,"Active","G8"
4,"Lecture","G8"
5,"Active","G7"
3,"Lecture","G7"
4,"Active","G6"
4,"Active","G8"
4,"Lecture","G6"
5,"Active","G6"
5,"Active","G7"
4,"Active","G6"
