"id","group","time","score"
"S024","Program","t3",56.56
"S010","Control","t1",52.33
"S018","Program","t1",63.02
"S019","Program","t2",53.05
"S009",,"t1",58.65
"S020","Program","t2",44.22
"S003","Control","t1",53.72
"S028","Program","t2",40.81
"S002","Control","t1",54.21
"S021","Program","t3",54.75
"S016","Program","t2",60.68
"S025","Program","t3",57.16
"S020","Program","t1",42.01
"S017","Program","t1",45.38
"S010","Control","t3",52.39
"S022","Program","t2",52.97
"S006","Control","t1",43.32
"S028","Program","t3",42.7
"S011","Control","t2",41.58
"S022","Program","t1",53.68
"S023","Program","t2",57.08
"S017","Program","t2",47.93
"S015","Program","t3",58.24
"S011","Control","t3",46.31
"S023","Program","t1",51.22
"S006","Control","t3",45.05
"S022","Program","t3",
"S015","Program","t2",48.75
"S014","Control","t1",51.23
"S007","Control","t3",55.43
"S028","Program","t1",39.58
"S018","Program","t2",65.05
"S014","Control","t2",55.42
"S002","Control","t3",57.71
"S015","Program","t1",42.67
"S007","Control","t1",52.48
"S025","Program","t1",46.18
"S019","Program","t3",58.08
"S004","Control","t1",41.31
"S026","Program","t1",47.17
"S003","Control","t2",56.07
"S027","Program","t1",50.49
"S027","Program","t2",51.48
"S024","Program","t1",56.02
"S008","Control","t3",57.69
"S012","Control","t3",56.15
"S021","Program","t1",51.23
"S005","Control","t1",45.98
"S009",,"t3",52.56
"S008","Control","t2",56.06
"S027","Program","t3",58.92
"S001","Control","t3",52.36
"S014","Control","t3",59.19
"S012","Control","t2",56.18
"S013","Control","t1",54.88
"S026","Program","t3",61.19
"S007","Control","t2",51.34
"S023","Program","t3",56.45
"S011","Control","t1",48.83
"S013","Control","t2",55.43
"S001","Control","t1",46
"S008","Control","t1",50.74
"S006","Control","t2",44.28
"S002","Control","t2",56.54
"S025","Program","t2",51.63
"S999","Control","t1",51
"S017","Program","t3",53.72
"S018","Program","t3",70.76
"S024","Program","t2",53.86
"S005","Program","t2",44.36
"S005","Control","t3",46.47
"S012","Control","t1",53.03
,"Program","t2",49.5
"S001","Control","t2",52.73
"S013","Control","t3",59.12
"S009",,"t2",58.02
"S004","Control","t3",49.43
"S021","Program","t2",53.44
"S026","Program","t2",55.27
"S003","Control","t3",62.24
"S010","Control","t2",48.2
"S019","Program","t1",48.43
"S016","Program","t3",63.73
"S004","Control","t2",
"S016","Program","t1",61.78
