"id","group","t1","t2","t3"
"S001","Coach",52.34,51.16,54.11
"S002","Coach",57.28,59.33,59.83
"S003","Coach",50.32,51.2,48.43
"S004","Coach",48.88,49.66,52.4
"S005","Coach",48.08,49.74,53.55
"S006","Coach",54.9,57.31,63.47
"S007","Coach",49.75,47.74,49.22
"S008","Coach",58.8,56.88,58.32
"S009","Coach",42.96,46.97,51.4
"S010","Coach",55.3,49.94,47.77
"S011","Online",47.5,54.95,57.84
"S012","Online",48.67,51.88,46.27
"S013","Online",42.24,40.23,40.83
"S014","Online",49.68,47.24,49.75
"S015","Online",41.52,48.31,52.76
"S016","Online",58.82,58.08,57.59
"S017","Online",51.16,50.39,47.38
"S018","Online",58,57.69,55.34
"S019","Online",49.27,55.62,59.06
"S020","Online",45.94,44.44,46.42
"S021","Online",55.42,57.39,58.31
"S022","Online",55.37,52.77,49.92
"S023","Tutor",44.82,47.72,51.27
"S024","Tutor",57.27,63.21,64.16
"S025","Tutor",57.26,63.28,68.72
"S026","Tutor",53.98,55.55,54.56
"S027","Tutor",56.43,62.64,64.04
"S028","Tutor",52.98,55.35,61.5
"S029","Tutor",46.9,48.74,48.67
"S030","Tutor",55.44,55.2,51.69
"S031","Tutor",54.2,57.87,61.16
"S032","Tutor",51.98,52.09,50.79
"S033","Tutor",41.59,44.86,48.38
"S034","Tutor",47.21,53.7,52.29
"S035","Tutor",53.19,55.85,59.4
"S036","Tutor",42,50.02,51.64
"S037","Tutor",49.93,54.88,52.46
