"id","group","time","rating"
"P18","Program","t3",4
"P05","Control","t2",4
"P04","Control","t3",5
"P15","Program","t3",5
"P18","Program","t1",1
"P02","Control","t3",6
"P20","Program","t2",7
"P03","Control","t1",3
"P08","Control","t1",2
"P11","Program","t2",5
"P06","Control","t3",3
"P13","Program","t2",3
"P07","Control","t3",4
"P10","Control","t1",4
"P07","Control","t1",5
"P16","Program","t1",5
"P19","Program","t2",4
"P08","Control","t3",4
"P12","Program","t3",7
"P17","Program","t1",3
"P07","Control","t2",3
"P16","Program","t3",5
"P15","Program","t1",4
"P19","Program","t3",5
"P01","Control","t1",6
"P11","Program","t1",3
"P20","Program","t3",7
"P06","Control","t1",2
"P20","Program","t1",6
"P09","Control","t3",5
"P03","Control","t2",2
"P09","Control","t2",6
"P05","Control","t3",4
"P05","Control","t1",2
"P13","Program","t3",4
"P10","Control","t2",3
"P04","Control","t1",3
"P16","Program","t2",6
"P11","Program","t3",5
"P03","Control","t3",2
"P13","Program","t1",2
"P01","Control","t3",5
"P12","Program","t2",6
"P14","Program","t1",3
"P14","Program","t3",7
"P17","Program","t2",4
"P18","Program","t2",2
"P15","Program","t2",6
"P10","Control","t3",6
"P04","Control","t2",4
"P08","Control","t2",4
"P02","Control","t1",4
"P12","Program","t1",4
"P19","Program","t1",2
"P17","Program","t3",6
"P02","Control","t2",5
"P01","Control","t2",6
"P06","Control","t2",2
"P09","Control","t1",4
"P14","Program","t2",5
