"group","y"
"Control",46.04
"Control",56.2
"Control",49.15
"Control",50.26
"Control",36.72
"Control",35.21
"Control",67.31
"Control",65.44
"Control",61.57
"Control",45.2
"Control",41.84
"Control",51.1
"Control",41.09
"Control",51.41
"Control",52.25
"Control",47.43
"Control",67.12
"Control",65.28
"Control",67.7
"Control",44.58
"Control",33.01
"Control",57.05
"Control",41.53
"Control",60.87
"Control",40.08
"Treatment",58.32
"Treatment",63.93
"Treatment",42.9
"Treatment",73.55
"Treatment",43.65
"Treatment",67.7
"Treatment",67.03
"Treatment",35.84
"Treatment",56.78
"Treatment",38.84
"Treatment",68.35
"Treatment",60.35
"Treatment",65.62
"Treatment",64.15
"Treatment",53.11
"Treatment",45.13
"Treatment",56.66
"Treatment",55.67
"Treatment",61.85
"Treatment",43.4
"Treatment",55.66
"Treatment",64.93
"Treatment",65.94
"Treatment",56.52
"Treatment",52.7
