"group","y"
"Control",3.22
"Control",3.42
"Control",
"Control",2.15
"Control",3.83
"Control",3.38
,4.3
"Control",3.61
"Control",4.64
"Control",4.2
"Control",
"Control",3.89
"Control",2.12
"Control",2.91
"Control",2.69
"Control",3.07
"Control",3.63
"Control",3.28
"Control",2.61
"Control",4.01
"Control",2.86
"Control",4
"Control",3.94
"Control",3.82
"Control",1.83
"Control",3.54
"Control",3.9
"Control",3.42
"Control",3.62
"Control",3.06
"Treatment",3.33
"Treatment",3.32
"Treatment",3.06
"Treatment",
"Treatment",3.54
"Treatment",4.43
"Treatment",3.93
"Treatment",4.09
"Treatment",3.9
"Treatment",2.81
"Treatment",3.7
"Treatment",4.12
"Treatment",3.7
"Treatment",4.22
,3.38
"Treatment",3.68
"Treatment",3.78
"Treatment",4.47
"Treatment",4.08
"Treatment",
"Treatment",4.03
"Treatment",3.65
"Treatment",3.28
"Treatment",4.29
"Treatment",3.85
"Treatment",2.65
"Treatment",3.81
"Treatment",4.03
"Treatment",2.78
"Treatment",3.84
