"group","y"
"Control",5
"Control",2
"Control",2
"Control",5
"Control",1
"Control",2
"Control",2
"Control",2
"Control",5
"Control",5
"Control",2
"Control",3
"Control",5
"Control",1
"Control",2
"Control",3
"Control",5
"Control",3
"Control",2
"Control",1
"Control",1
"Control",3
"Control",3
"Control",2
"Control",4
"Control",5
"Control",4
"Control",3
"Control",3
"Control",3
"Treatment",5
"Treatment",3
"Treatment",4
"Treatment",4
"Treatment",3
"Treatment",3
"Treatment",1
"Treatment",4
"Treatment",4
"Treatment",4
"Treatment",5
"Treatment",5
"Treatment",3
"Treatment",4
"Treatment",5
"Treatment",2
"Treatment",3
"Treatment",5
"Treatment",3
"Treatment",4
"Treatment",4
"Treatment",3
"Treatment",4
"Treatment",2
"Treatment",5
"Treatment",4
"Treatment",2
"Treatment",4
