"group","y"
"Control",71.71
"Control",67.78
"Control",76.2
"Control",77.32
"Control",64.65
"Control",66.07
"Control",72.49
"Control",69.24
"Control",68.58
"Control",73.82
"Control",67.61
"Control",65.44
"Treatment",77.7
"Treatment",86.81
"Treatment",92.68
"Treatment",80.87
"Treatment",76.16
"Treatment",88.01
"Treatment",61.39
"Treatment",68.46
"Treatment",67
"Treatment",70.76
"Treatment",94.43
"Treatment",79.96
"Treatment",89.49
"Treatment",57.03
"Treatment",84.76
"Treatment",72.15
"Treatment",60.21
"Treatment",65.27
"Treatment",70.12
"Treatment",85.3
"Treatment",66.28
"Treatment",84.05
"Treatment",72.95
"Treatment",67.98
"Treatment",66.8
"Treatment",54.31
"Treatment",71.92
"Treatment",71.29
"Treatment",87.43
"Treatment",84.1
"Treatment",64.72
"Treatment",66.61
"Treatment",78.84
"Treatment",69.31
"Treatment",70.86
"Treatment",84.25
"Treatment",67.02
"Treatment",85.14
"Treatment",88.17
"Treatment",48.88
