"id","pre","post"
1,3,4
2,0,0
3,11,8
4,9,7
5,4,8
6,13,16
7,1,0
8,6,7
9,14,16
10,8,8
11,4,8
12,11,14
13,19,21
14,0,0
15,14,15
16,19,23
17,5,9
18,1,2
19,13,15
20,3,7
21,19,21
22,7,11
23,9,13
24,1,2
25,11,11
26,10,13
27,4,2
28,9,6
29,12,9
30,2,0
31,2,5
32,18,17
33,0,0
34,15,14
35,1,0
36,2,2
37,14,19
38,3,0
39,11,11
40,7,8
41,10,8
42,6,7
43,15,13
44,4,7
45,9,13
46,11,15
47,1,2
48,11,11
49,8,12
50,1,0
51,2,4
52,17,22
53,2,0
54,10,13
55,5,10
56,0,0
57,18,16
58,7,5
59,10,14
60,5,8
61,16,19
62,4,4
63,11,16
64,16,19
65,2,5
66,17,22
67,9,10
68,1,0
69,14,16
70,3,7
