"id","time","score"
1,"T1",22.9
1,"T2",19
1,"T3",26
1,"T4",26.5
1,"T5",31.4
2,"T1",24.4
2,"T2",15.9
2,"T3",27.5
2,"T4",26.9
2,"T5",27.9
3,"T1",19.4
3,"T2",19.7
3,"T3",25.3
3,"T5",30.6
4,"T1",22.7
4,"T2",24.4
4,"T3",23.7
4,"T4",23.9
4,"T5",30.6
5,"T1",23.5
5,"T2",24.6
5,"T3",25.4
5,"T4",19.9
5,"T5",21.1
6,"T1",26.9
6,"T2",15.3
6,"T3",19.2
6,"T4",32.9
6,"T5",28.8
7,"T1",20.9
7,"T2",19.6
7,"T3",21.8
7,"T4",25.4
7,"T5",36
8,"T1",22.4
8,"T2",
8,"T3",26.7
8,"T4",17.3
8,"T5",23.8
9,"T1",22.6
9,"T2",23.4
9,"T3",22.8
9,"T4",26.4
9,"T5",28.1
10,"T1",15.3
10,"T2",23.5
10,"T3",27.9
10,"T4",24.5
10,"T5",32
11,"T1",22.1
11,"T2",19.1
11,"T3",25.8
11,"T4",25.1
11,"T5",26.6
12,"T1",12.4
12,"T2",25.9
12,"T3",21.1
12,"T4",28.1
12,"T5",28.2
