"group","y"
"A",7.9
"A",4.1
"A",14
"A",6.7
"A",2.4
"A",0.2
"A",4.3
"A",14.1
"A",1.4
"A",1.5
"A",1
"A",17.8
"A",9.8
"A",8.9
"A",12.7
"A",11.6
"A",4.6
"A",28.3
"A",5.4
"A",7.3
"A",22.4
"A",11.9
"A",11.5
"A",7.3
"A",10.8
"A",6
"A",2.5
"A",9.1
"A",1.9
"A",33.9
"A",5.9
"A",9.8
"A",11.9
"A",5.5
"A",11
"A",15.1
"A",11.3
"A",3.1
"A",0.8
"A",13
"A",6.1
"A",0.2
"A",8.2
"A",6.3
"A",6.5
"A",40.9
"A",0.1
"A",2.8
"A",0.8
"A",2.3
"A",44.2
"A",7.3
"A",19.4
"A",14.8
"A",9.1
"A",0.6
"A",7.9
"A",3.8
"A",11.7
"A",2.7
"B",12.4
"B",0.8
"B",8.8
"B",1
"B",0.1
"B",2.3
"B",9.4
"B",14.8
"B",7
"B",10.7
"B",32.9
"B",32.6
"B",5.7
"B",10.1
"B",1.2
"B",1.3
"B",0.5
"B",3.9
"B",4.4
"B",15.8
"B",48
"B",6.2
"B",8.3
"B",0.8
"B",6.5
"B",9.6
"B",0.7
"B",18.6
"B",1.2
"B",7.8
"B",18.2
"B",0.2
"B",58.7
"B",3.2
"B",10.5
"B",2.8
"B",5.5
"B",28
"B",21.9
"B",8.2
"B",14.1
"B",2.5
"B",6.9
"B",6.2
"B",1
"B",8.8
"B",0.4
"B",13.7
"B",18.1
"B",9.4
"B",28.6
"B",1.1
"B",8.4
"B",25.8
"B",107
