"id","time","score"
3,"Post",82.1
2,"Pre",70
7,"Post",92.3
12,"Pre",70
16,"Post",71
2,"Post",72.3
1,"Post",85.5
13,"Post",72.3
1,"Pre",75.6
6,"Pre",92.2
21,"Pre",70.8
20,"Pre",66.7
18,"Post",64.9
7,"Pre",83.8
22,"Pre",73.5
18,"Pre",60.1
5,"Pre",75
20,"Post",74.4
17,"Pre",82.8
4,"Post",76.9
10,"Post",57.7
9,"Post",75.2
10,"Pre",55.9
6,"Post",99.8
19,"Pre",71.2
9,"Pre",71.5
14,"Post",76.3
11,"Pre",77.3
13,"Pre",74.3
7,"Post",83.2
17,"Post",79.7
5,"Post",77.1
11,"Post",76.9
12,"Post",79.3
14,"Pre",66.1
8,"Post",72.8
4,"Pre",76.2
8,"Pre",58.3
19,"Post",76
15,"Post",66.7
23,"Post",64.1
3,"Pre",80.1
16,"Pre",62.2
15,"Pre",66.4
