"x1","x2","x3","x4","y"
39.68,37.34,19.24,80.36,46.87
64.03,63.94,21.48,129.06,62.14
39.39,45.1,19.99,79.78,45.46
56.79,61.41,19.1,114.58,55.87
55.37,57.87,21.22,111.74,53.04
42.52,41.43,23.5,86.04,56.82
56.34,57.56,18.69,113.68,55.58
57.47,60.57,24.73,115.94,59.01
36.72,35.32,22.77,74.44,48.83
55.78,58.04,24.73,112.56,61.24
25.74,25.14,26.11,52.48,42.42
55.42,61.69,21.49,111.84,57.24
51.42,50.68,25.92,103.84,54.23
52.06,52.43,24.02,105.12,59.3
33.49,34.88,25.83,67.98,54.15
32.11,32.28,26.64,65.22,39.92
63.36,59.66,25.07,127.72,69.19
45.41,47.85,25.28,91.82,55.45
66.44,71.1,23.39,133.88,78.58
57.19,58.43,27.97,115.38,70.98
48.32,53.43,16.02,97.64,57.67
61.57,59.48,26.03,124.14,71
61.95,60.55,21.25,124.9,63.43
49.04,50.02,15.15,99.08,49.3
48.16,54.34,19.49,97.32,52.24
48.92,46.18,26.07,98.84,60.38
53.1,53.57,24.57,107.2,55.75
46.4,49.05,16.34,93.8,59.32
61.89,62.6,12.81,124.78,62.73
61.54,59.2,27.77,124.08,69.15
32.93,28.44,20.8,66.86,49.66
50.08,51.27,21.47,101.16,53.96
57.09,54.41,23.84,115.18,62.43
56.59,64.24,21.77,114.18,59.54
58.99,56.51,17.16,118.98,50.11
40.3,36.78,20.66,81.6,53.8
58.44,53.83,19.78,117.88,50.68
32.25,30.68,20.22,65.5,41.08
38.26,39.7,24.41,77.52,46.28
52.66,51.78,16.99,106.32,54.33
34.82,29.88,23.15,70.64,40.06
32.55,33.86,17.71,66.1,46.66
70.75,72.86,22.08,142.5,79.73
38.58,37.81,16.57,78.16,48.57
57.24,55.97,18.67,115.48,54.96
40.16,45.06,17.81,81.32,43.46
43.86,42.85,19.78,88.72,54.31
46.84,50.32,13.81,94.68,51.09
43.93,42.96,19.59,88.86,50.88
45.41,51.46,11.49,91.82,43.75
50.95,46.96,24.52,102.9,56.96
51.81,53.22,26.56,104.62,53.88
51.26,51.56,22.08,103.52,46.11
58.44,60.55,17.64,117.88,56.44
65.04,71.53,21.74,131.08,76.46
30.75,32.22,20.18,62.5,46.12
47.88,49.91,15.08,96.76,55.21
55.81,52.6,25.1,112.62,62.8
45.43,45.24,19.57,91.86,55.56
52.81,52.14,17.84,106.62,59.75
