"pass","rare","result","hours","motivation","region"
0,0,"Fail",8.3,3.65,"Suburban"
0,0,"Fail",3.7,4.59,"Suburban"
1,1,"Pass",,5.28,"Rural"
1,0,"Pass",4.4,3.47,"Rural"
1,0,"Pass",9.9,2.52,"Rural"
1,1,"Pass",7.2,2.73,"Urban"
1,0,"Pass",1.7,3.91,"Suburban"
0,0,"Fail",0.9,5.97,"Suburban"
0,0,"Fail",2.2,2.21,"Rural"
1,0,"Pass",4.8,3.49,"Suburban"
1,0,"Pass",6.7,3.5,"Rural"
0,0,"Fail",1.6,2.76,"Rural"
1,0,"Pass",4.5,5.1,"Suburban"
0,1,"Fail",9.7,3.58,"Suburban"
1,0,"Pass",8.8,3.24,"Rural"
0,0,"Fail",1.7,2.99,"Rural"
0,0,"Fail",1.4,2.51,"Suburban"
1,0,"Pass",8.4,3.92,"Suburban"
1,1,"Pass",9.2,4.24,"Suburban"
1,0,"Pass",8.7,2.24,"Rural"
0,0,"Fail",3.4,3.46,"Rural"
1,0,"Pass",7.1,3.45,"Urban"
0,0,"Fail",1.7,3.88,"Suburban"
1,1,"Pass",9.4,4.71,"Urban"
0,0,"Fail",1.6,2.79,"Rural"
0,0,"Fail",1.3,3.73,"Urban"
1,0,"Pass",2.4,3.86,"Rural"
0,0,"Fail",5.3,3.32,"Suburban"
0,0,"Fail",0.2,3.42,"Urban"
1,0,"Pass",6.7,2.51,"Suburban"
0,0,"Fail",7.1,3.67,"Urban"
0,0,"Fail",2.3,4.01,"Urban"
1,0,"Pass",7.1,4.13,"Urban"
1,0,"Pass",7.9,3.47,"Suburban"
0,0,"Fail",3.4,1.85,"Suburban"
1,0,"Pass",6.7,4.99,"Rural"
1,0,"Pass",3.7,3.48,"Suburban"
1,0,"Pass",9.8,3.68,"Rural"
1,0,"Pass",8.9,3.29,"Rural"
0,0,"Fail",0.1,3.65,"Suburban"
0,1,"Fail",4.6,2.64,"Suburban"
1,1,"Pass",5,3.82,"Rural"
1,0,"Pass",6.1,3.98,"Suburban"
0,0,"Fail",3.9,3.98,"Rural"
1,0,"Pass",9.3,2.73,"Suburban"
1,1,"Pass",7.8,3.85,"Suburban"
1,0,"Pass",4.3,3.75,"Suburban"
0,0,"Fail",5.4,1.84,"Rural"
1,0,"Pass",2.1,3.6,"Suburban"
0,0,"Fail",,3.22,"Suburban"
0,0,"Fail",3.3,4.25,"Urban"
1,0,"Pass",7.4,2.58,"Suburban"
1,0,"Pass",5.2,3.24,"Suburban"
0,0,"Fail",2.3,3.88,"Suburban"
1,0,"Pass",5.4,3.32,"Urban"
0,0,"Fail",4.3,2.14,"Urban"
0,0,"Fail",1.9,3.29,"Suburban"
0,1,"Fail",7,3.68,"Rural"
0,0,"Fail",3.5,2.59,"Suburban"
0,0,"Fail",4.8,3.1,"Rural"
0,1,"Fail",6,3.05,"Rural"
0,0,"Fail",0.8,3.06,"Suburban"
1,0,"Pass",2.8,3.91,"Suburban"
1,0,"Pass",8.6,4.19,"Suburban"
1,0,"Pass",4.5,3.35,"Urban"
1,0,"Pass",5.8,4.42,"Urban"
1,0,"Pass",1.4,3.55,"Rural"
1,0,"Pass",9.1,3.6,"Suburban"
0,0,"Fail",0.1,2.7,"Rural"
0,0,"Fail",5.2,4.57,"Suburban"
0,0,"Fail",0.9,3.55,"Urban"
1,0,"Pass",2.4,3.43,"Urban"
1,0,"Pass",8.3,2.91,"Suburban"
1,0,"Pass",3.7,4.52,"Urban"
1,0,"Pass",4.7,2.87,"Urban"
1,1,"Pass",8,4.14,"Rural"
1,0,"Pass",6.2,3.42,"Urban"
0,0,"Fail",0.3,3.74,"Rural"
0,0,"Fail",1.7,3.98,"Rural"
0,1,"Fail",2.7,4.32,"Rural"
0,0,"Fail",0.6,4.11,"Rural"
0,0,"Fail",4.3,4.03,"Urban"
0,0,"Fail",2.1,3.7,"Urban"
0,0,"Fail",1.1,3.66,"Suburban"
1,0,"Pass",4.8,4.42,"Rural"
0,0,"Fail",3.2,5.25,"Suburban"
0,0,"Fail",5,1.89,"Urban"
0,0,"Fail",3.7,4.28,"Urban"
1,0,"Pass",2.8,4.11,"Suburban"
0,0,"Fail",2.7,2.19,"Rural"
0,0,"Fail",0.4,2.63,"Suburban"
0,0,"Fail",5,2.82,"Suburban"
1,0,"Pass",3.8,2.99,"Urban"
0,0,"Fail",1.9,3.5,"Rural"
0,0,"Fail",0.6,1.88,"Rural"
0,0,"Fail",3.8,2.24,"Suburban"
0,0,"Fail",3,2.84,"Rural"
1,1,"Pass",8.7,4.02,"Urban"
1,0,"Pass",7.9,2.7,"Urban"
0,0,"Fail",2.4,3.9,"Rural"
0,1,"Fail",2.3,3.65,"Suburban"
0,0,"Fail",9.4,4.56,"Urban"
1,0,"Pass",7.3,2.92,"Suburban"
1,0,"Pass",1.5,4.19,"Urban"
0,1,"Fail",4.4,3.29,"Suburban"
0,0,"Fail",5.8,2.75,"Suburban"
0,0,"Fail",0.1,3.5,"Suburban"
0,0,"Fail",0.2,4.2,"Rural"
0,0,"Fail",1.8,3.23,"Suburban"
0,0,"Fail",5.5,3.14,"Urban"
0,0,"Fail",7,1.97,"Rural"
1,0,"Pass",8.7,3.49,"Suburban"
0,0,"Fail",6.6,3.89,"Suburban"
0,0,"Fail",3.5,3.48,"Urban"
1,0,"Pass",7.7,3.83,"Suburban"
1,0,"Pass",0.3,3.73,"Suburban"
0,0,"Fail",0.4,3.28,"Rural"
0,0,"Fail",4.8,1.42,"Urban"
1,0,"Pass",0.6,3.23,"Rural"
1,0,"Pass",4.4,4.48,"Suburban"
1,0,"Pass",6.6,3.09,"Suburban"
1,1,"Pass",9.3,4.72,"Rural"
0,0,"Fail",6.8,2.72,"Rural"
1,0,"Pass",7.9,4.04,"Rural"
1,0,"Pass",3.7,4.59,"Rural"
0,0,"Fail",7.4,3.1,"Suburban"
0,0,"Fail",1.8,3.32,"Urban"
1,0,"Pass",0.7,4.97,"Urban"
1,0,"Pass",7.2,3.81,"Urban"
1,0,"Pass",6.3,3.54,"Urban"
0,0,"Fail",2.2,3.36,"Rural"
1,0,"Pass",6.8,2.32,"Urban"
1,0,"Pass",6.9,3.51,"Urban"
1,1,"Pass",6.6,3.87,"Rural"
1,0,"Pass",6.2,3.15,"Urban"
0,0,"Fail",0.4,3.47,"Rural"
1,0,"Pass",6,3.54,"Suburban"
0,0,"Fail",9.6,3.14,"Rural"
1,0,"Pass",4.3,3.5,"Urban"
0,0,"Fail",0.5,3.9,"Rural"
0,0,"Fail",8.4,4.42,"Suburban"
1,0,"Pass",7.4,2.51,"Urban"
