"id","score","hours","motivation","female","region"
1,78.8,3.9,4.3,0,"Urban"
2,65.8,2.8,2.66,1,"Rural"
3,69.5,4.5,2.39,1,"Rural"
4,78,6.8,1.73,1,"Suburban"
5,,9.7,3.62,1,"Rural"
6,76.3,8.4,3.74,0,"Rural"
7,74.1,3.8,2.27,1,"Rural"
8,54.8,,4.32,1,"Rural"
9,75.1,4.2,3.04,0,"Rural"
10,81.7,7.8,4.15,1,"Rural"
11,79.4,6.7,2.84,1,"Suburban"
12,85.8,9.1,4.22,1,
13,88.1,5.9,4.18,0,"Urban"
14,84.1,6.7,3.27,1,"Rural"
15,92.1,6.8,3.59,0,"Suburban"
16,82.4,7.8,5.03,1,"Urban"
17,,9.5,2.35,0,"Rural"
18,84.1,9,3.98,0,"Rural"
19,88.3,5.9,4.63,0,"Rural"
20,72.5,3.4,4.29,0,"Suburban"
21,70.1,4.1,3.31,1,"Urban"
22,82,9.2,2.95,0,"Suburban"
23,72.6,8.3,3.18,1,"Suburban"
24,66.4,4.5,4.13,0,"Rural"
25,80.2,1.7,4.66,1,"Urban"
26,54.4,2,3.92,0,"Suburban"
27,81.4,8,3.11,0,"Rural"
28,85.1,6.6,4.81,1,"Suburban"
29,65.9,6,3.02,0,"Rural"
30,55.5,5.9,4.14,0,"Rural"
31,73,4.8,3.2,0,"Urban"
32,80.8,7.2,3.83,0,"Urban"
33,,8.4,3.84,0,"Urban"
34,71.6,1.4,4.4,0,"Urban"
35,65.8,4.7,2.89,0,"Rural"
36,65.8,1.5,2.98,0,"Suburban"
37,85.3,8.9,4.03,0,"Urban"
38,87.5,2.5,3.96,1,"Urban"
39,67.8,1.1,2.47,1,"Urban"
40,70.1,,3.58,0,"Rural"
41,63.6,4.3,2.92,0,"Urban"
42,87.6,8.6,3.44,1,"Suburban"
43,68.5,1.2,3.27,0,"Suburban"
44,77.6,6.2,3.34,0,"Rural"
45,81.2,8.9,4.14,0,"Rural"
46,64,0,3.82,1,"Urban"
47,77.5,0.3,3.28,1,"Urban"
48,54.3,1.5,3.52,0,"Rural"
49,72.5,4.6,2.92,1,"Rural"
50,63.2,0.9,3.01,0,"Suburban"
51,70.3,0.6,2.01,1,"Suburban"
52,70.4,2.6,3.28,0,"Suburban"
53,66.2,2.5,3.03,0,"Rural"
54,85.8,9.9,3.64,0,"Urban"
55,75.4,4.9,2.55,1,"Suburban"
56,75.5,3.4,3.2,1,"Rural"
57,75.1,6.8,3.33,0,"Suburban"
58,76.9,7.9,3.59,0,"Suburban"
59,61.2,1.5,4.12,0,"Rural"
60,69.9,3.9,3.59,0,
61,80.9,4.8,3.82,0,"Suburban"
62,83.5,4.6,4.6,1,"Urban"
63,74.5,6.5,2.94,0,"Suburban"
64,72.2,3.5,4.12,0,"Suburban"
65,74.5,6.6,3.41,1,"Rural"
66,84.2,9.8,4.3,1,"Rural"
67,67.3,1.7,2.75,1,"Urban"
68,68.9,0.9,4.56,1,"Rural"
69,80.1,3.7,3.07,1,"Urban"
70,77.6,8.3,3.56,1,"Urban"
71,72.2,2.2,3.94,0,"Urban"
72,75.9,9.2,2.81,0,"Urban"
73,74.9,6.5,1.92,0,"Suburban"
74,57.9,1.7,3.36,0,"Suburban"
75,62.1,3.6,3.04,0,"Urban"
76,78.7,6.2,1.81,0,"Urban"
77,81.6,2.3,4.12,1,"Suburban"
78,78.1,8.8,3.65,1,"Rural"
79,72.9,4.4,3.02,0,"Rural"
80,93.3,7.4,4.43,0,"Urban"
81,81.5,7.9,3.84,1,"Suburban"
82,81.6,7.9,4.12,0,"Urban"
83,79.2,9.4,2.3,0,"Urban"
84,73.2,2.9,3.93,0,"Suburban"
85,65.1,5.8,5.02,0,"Rural"
86,77.8,5.8,3.99,0,"Rural"
87,70.9,4.2,3.99,1,"Urban"
88,71.6,2.8,4.42,1,"Urban"
89,74.9,2,3.75,1,"Suburban"
90,83.6,6.3,4.21,0,"Urban"
