"satisfaction","hours","female","region"
3,3.1,1,"Urban"
2,5.3,0,"Rural"
4,8.8,1,"Urban"
4,9.8,1,"Suburban"
4,9.2,0,"Urban"
3,2.9,1,"Rural"
4,2,1,"Suburban"
4,7.8,0,"Rural"
,4.2,0,"Rural"
2,2.4,1,"Rural"
1,3.2,0,"Rural"
4,1.6,0,"Suburban"
4,5.3,1,"Urban"
2,1,0,"Suburban"
2,0.5,0,"Urban"
4,8.9,0,"Urban"
3,5.9,1,"Urban"
3,0.9,0,"Suburban"
3,6.9,0,"Urban"
3,9.1,1,"Rural"
3,0.5,0,"Suburban"
4,5.1,1,"Rural"
1,1.8,0,"Suburban"
4,1.1,0,"Rural"
3,6.2,0,"Rural"
2,3.7,1,"Urban"
4,6.5,1,"Suburban"
1,5.7,1,"Urban"
1,2,1,"Suburban"
3,5.2,0,"Suburban"
4,9,0,"Urban"
2,8.1,0,"Rural"
2,4,0,"Urban"
2,6.2,1,"Rural"
4,8.2,0,"Urban"
4,8.7,0,"Urban"
2,5.8,0,"Urban"
1,3.3,0,"Urban"
2,0.9,1,"Urban"
4,7.3,0,"Suburban"
1,1.3,0,"Suburban"
1,0.8,0,"Suburban"
4,9.7,1,"Rural"
1,2.6,0,"Suburban"
1,1,0,"Rural"
1,7.2,0,"Urban"
2,2.1,1,"Rural"
1,3.6,0,"Urban"
3,6.8,1,"Suburban"
3,5.5,1,"Urban"
3,4,1,"Suburban"
1,2.3,0,"Suburban"
4,4.3,0,"Urban"
4,8.7,1,"Suburban"
4,7.8,0,"Suburban"
2,3.4,0,"Urban"
2,3.4,1,"Suburban"
4,4.1,1,"Rural"
1,3.9,1,"Suburban"
1,3.1,1,"Suburban"
2,5.4,1,"Urban"
2,6.8,0,"Rural"
3,3.7,0,"Suburban"
2,6.7,1,"Rural"
1,3.4,0,"Urban"
2,6.3,0,"Urban"
1,0.8,0,"Urban"
4,5.6,1,"Urban"
3,0.9,0,"Urban"
4,9,1,"Urban"
3,6.5,1,"Rural"
1,1.4,0,"Rural"
4,4.3,0,"Rural"
2,7.7,0,"Urban"
2,0.8,1,"Urban"
2,3.8,0,"Rural"
,8.7,1,"Suburban"
3,9.8,0,"Suburban"
4,6.4,0,"Urban"
4,4.1,1,"Rural"
2,4.2,0,"Suburban"
2,7.2,1,"Rural"
3,6,1,"Rural"
1,1.9,0,"Urban"
1,1.1,0,"Urban"
4,6.7,1,"Rural"
2,2.4,0,"Urban"
3,4.5,0,"Rural"
2,9.2,1,"Rural"
3,9.6,0,"Rural"
2,6.2,1,"Suburban"
4,7.1,1,"Rural"
1,3.8,1,"Urban"
2,4.5,1,"Rural"
1,5.2,0,"Suburban"
2,7.4,1,"Urban"
4,8.2,1,"Urban"
1,1.4,0,"Suburban"
2,8,0,"Suburban"
3,3.5,1,"Urban"
1,0.7,1,"Suburban"
3,5.8,0,"Suburban"
1,2.9,1,"Suburban"
4,7.1,0,"Suburban"
4,6.8,0,"Suburban"
4,7,1,"Rural"
3,8.9,0,"Rural"
3,8.3,1,"Rural"
4,7.3,1,"Urban"
3,9.6,1,"Rural"
2,1.2,1,"Suburban"
3,7.6,0,"Urban"
2,7.3,0,"Urban"
1,1.1,0,"Suburban"
3,5.1,1,"Suburban"
3,2.9,1,"Suburban"
3,5.3,0,"Suburban"
2,4,0,"Suburban"
1,2.5,1,"Rural"
3,0.9,0,"Rural"
3,3.7,1,"Rural"
2,2.7,0,"Urban"
3,8.4,0,"Rural"
2,9.2,0,"Urban"
1,0.8,1,"Suburban"
1,9,1,"Suburban"
3,4.8,0,"Rural"
4,6.9,1,"Suburban"
2,1.2,0,"Rural"
4,9.6,0,"Urban"
1,0.1,1,"Rural"
2,1.2,1,"Suburban"
4,9.1,1,"Suburban"
1,3.5,0,"Suburban"
2,2,0,"Rural"
3,6.2,0,"Suburban"
4,6.9,1,"Rural"
2,4.3,1,"Suburban"
2,4,1,"Suburban"
1,4.8,0,"Urban"
2,1,1,"Suburban"
1,3.1,1,"Rural"
4,7.8,1,"Urban"
1,1.2,0,"Urban"
3,1.9,1,"Suburban"
4,4.7,1,"Urban"
1,2.8,1,"Urban"
1,3.5,1,"Rural"
2,0.1,1,"Urban"
1,2.8,0,"Urban"
3,5.8,0,"Suburban"
3,9.8,0,"Suburban"
3,2.1,1,"Urban"
3,4.6,1,"Suburban"
4,6,1,"Suburban"
3,1.9,0,"Urban"
1,5.9,0,"Suburban"
4,6.6,1,"Urban"
4,4.5,1,"Urban"
3,3.5,0,"Suburban"
