"Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q3_8","Q3_9","Q3_10"
3,2,3,1,,2,3,2,3,2
,,3,3,3,2,,3,1,2
3,4,4,4,3,2,4,4,4,4
3,3,3,2,3,1,2,2,2,3
5,5,4,5,4,5,4,2,4,3
4,3,3,4,3,4,3,3,4,4
5,5,5,5,5,5,5,5,5,5
4,5,4,5,4,5,5,5,5,5
3,4,3,4,4,4,3,4,4,5
1,1,3,2,4,2,2,2,2,2
3,2,3,3,2,3,,3,4,3
,3,3,4,2,3,2,4,2,4
3,4,2,3,4,3,3,3,3,3
3,4,4,4,5,4,5,5,4,4
2,3,3,2,3,3,3,2,4,2
5,5,5,5,4,5,5,4,5,5
1,1,1,1,1,1,1,2,1,
4,3,4,3,3,4,4,4,4,4
2,3,2,2,2,2,2,3,2,2
5,4,5,4,4,3,4,5,5,5
4,5,4,4,4,5,4,4,4,4
3,3,3,3,3,3,2,4,2,2
3,2,3,4,3,3,4,3,4,3
3,3,4,3,4,2,4,3,4,4
4,4,,3,3,4,,4,3,3
5,5,5,5,4,5,5,5,4,5
3,3,4,4,4,3,4,4,4,4
,3,5,4,5,5,5,,5,5
,3,2,2,4,4,3,3,3,3
2,2,1,,3,1,1,3,2,2
5,5,5,4,4,5,5,4,,4
3,2,3,3,3,3,3,3,3,3
2,3,4,4,2,5,4,4,3,4
2,2,3,3,2,2,3,4,4,2
5,4,5,5,4,5,4,4,3,5
5,4,4,3,4,3,4,2,4,3
,3,3,2,3,4,4,3,3,4
2,3,4,3,3,4,3,4,3,4
1,1,1,1,1,1,1,1,1,1
5,4,,4,4,3,4,,4,4
3,3,4,,3,3,4,4,4,4
4,3,4,3,3,3,4,3,5,4
4,5,4,,,4,5,4,4,4
,4,4,3,4,4,4,4,4,4
4,5,2,3,,2,3,4,3,4
3,3,3,3,3,3,3,3,5,3
3,3,3,2,3,2,2,2,3,2
4,4,5,5,4,5,5,5,5,5
5,4,5,4,4,5,4,5,5,4
5,5,5,5,5,5,5,5,5,5
5,4,4,4,5,4,4,5,5,4
2,3,4,4,4,3,3,3,3,4
4,4,4,4,3,4,5,3,4,3
4,4,4,4,4,4,5,4,3,4
3,4,3,4,2,4,3,3,3,3
4,4,4,4,3,5,2,4,4,4
2,3,3,2,,2,4,4,3,4
5,4,4,5,5,4,5,5,,4
4,3,4,3,,4,3,2,4,4
3,3,3,4,3,2,4,3,3,3
