StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5_pre,Q5_post,Q6_1,Q6_2,Q6_3
StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,What is your program?,Did you pass the course?,Did you use an extra-credit opportunity?,Did you use office hours before midterm?,Did you use office hours after midterm?,Used a study group this term?,Used a tutor this term?,Used the writing center this term?
"{""ImportId"": ""StartDate""}","{""ImportId"": ""EndDate""}","{""ImportId"": ""Status""}","{""ImportId"": ""IPAddress""}","{""ImportId"": ""Progress""}","{""ImportId"": ""Duration (in seconds)""}","{""ImportId"": ""Finished""}","{""ImportId"": ""RecordedDate""}","{""ImportId"": ""ResponseId""}","{""ImportId"": ""RecipientLastName""}","{""ImportId"": ""RecipientFirstName""}","{""ImportId"": ""RecipientEmail""}","{""ImportId"": ""ExternalReference""}","{""ImportId"": ""LocationLatitude""}","{""ImportId"": ""LocationLongitude""}","{""ImportId"": ""DistributionChannel""}","{""ImportId"": ""UserLanguage""}","{""ImportId"": ""Q2""}","{""ImportId"": ""Q3""}","{""ImportId"": ""Q4""}","{""ImportId"": ""Q5_pre""}","{""ImportId"": ""Q5_post""}","{""ImportId"": ""Q6_1""}","{""ImportId"": ""Q6_2""}","{""ImportId"": ""Q6_3""}"
2026-02-01 08:00:00,2026-02-01 08:00:00,IP Address,,100,864,True,2026-02-01 08:00:00,R_F_0000,,,,,,,anonymous,EN,Education,Pass,No,Yes,Yes,Yes,Yes,Yes
2026-02-02 09:07:13,2026-02-02 09:07:13,IP Address,,100,428,True,2026-02-02 09:07:13,R_F_0001,,,,,,,anonymous,EN,Psychology,Pass,No,No,No,No,No,Yes
2026-02-03 10:14:26,2026-02-03 10:14:26,IP Address,,100,661,True,2026-02-03 10:14:26,R_F_0002,,,,,,,anonymous,EN,Education,Pass,No,No,Yes,Yes,Yes,Yes
2026-02-04 11:21:39,2026-02-04 11:21:39,IP Address,,100,604,True,2026-02-04 11:21:39,R_F_0003,,,,,,,anonymous,EN,Psychology,Pass,No,No,No,No,No,Yes
2026-02-05 12:28:52,2026-02-05 12:28:52,IP Address,,100,326,True,2026-02-05 12:28:52,R_F_0004,,,,,,,anonymous,EN,Psychology,Pass,No,No,No,Yes,Yes,Yes
2026-02-06 13:35:05,2026-02-06 13:35:05,IP Address,,100,823,True,2026-02-06 13:35:05,R_F_0005,,,,,,,anonymous,EN,Psychology,Fail,No,No,No,No,No,Yes
2026-02-07 14:42:18,2026-02-07 14:42:18,IP Address,,100,678,True,2026-02-07 14:42:18,R_F_0006,,,,,,,anonymous,EN,Education,Fail,No,No,No,No,No,No
2026-02-08 15:49:31,2026-02-08 15:49:31,IP Address,,100,741,True,2026-02-08 15:49:31,R_F_0007,,,,,,,anonymous,EN,Education,Fail,No,No,No,Yes,Yes,Yes
2026-02-09 16:56:44,2026-02-09 16:56:44,IP Address,,100,893,True,2026-02-09 16:56:44,R_F_0008,,,,,,,anonymous,EN,Psychology,Fail,No,No,No,No,No,No
2026-02-10 08:03:57,2026-02-10 08:03:57,IP Address,,100,419,True,2026-02-10 08:03:57,R_F_0009,,,,,,,anonymous,EN,Education,Fail,No,No,No,No,No,Yes
2026-02-11 09:10:10,2026-02-11 09:10:10,IP Address,,100,119,True,2026-02-11 09:10:10,R_F_0010,,,,,,,anonymous,EN,Education,Pass,Yes,No,Yes,No,No,No
2026-02-12 10:17:23,2026-02-12 10:17:23,IP Address,,100,543,True,2026-02-12 10:17:23,R_F_0011,,,,,,,anonymous,EN,Education,Pass,No,No,No,No,No,No
2026-02-13 11:24:36,2026-02-13 11:24:36,IP Address,,100,800,True,2026-02-13 11:24:36,R_F_0012,,,,,,,anonymous,EN,Education,Pass,No,Yes,Yes,No,No,No
2026-02-14 12:31:49,2026-02-14 12:31:49,IP Address,,100,194,True,2026-02-14 12:31:49,R_F_0013,,,,,,,anonymous,EN,Education,Pass,No,No,No,No,Yes,Yes
2026-02-15 13:38:02,2026-02-15 13:38:02,IP Address,,100,780,True,2026-02-15 13:38:02,R_F_0014,,,,,,,anonymous,EN,Business,Pass,No,No,No,Yes,Yes,Yes
2026-02-16 14:45:15,2026-02-16 14:45:15,IP Address,,100,472,True,2026-02-16 14:45:15,R_F_0015,,,,,,,anonymous,EN,Education,Pass,No,No,No,No,No,Yes
2026-02-17 15:52:28,2026-02-17 15:52:28,IP Address,,100,635,True,2026-02-17 15:52:28,R_F_0016,,,,,,,anonymous,EN,Education,Fail,No,No,Yes,Yes,Yes,Yes
2026-02-18 16:59:41,2026-02-18 16:59:41,IP Address,,100,288,True,2026-02-18 16:59:41,R_F_0017,,,,,,,anonymous,EN,Business,Pass,No,Yes,Yes,Yes,Yes,Yes
2026-02-19 08:06:54,2026-02-19 08:06:54,IP Address,,100,649,True,2026-02-19 08:06:54,R_F_0018,,,,,,,anonymous,EN,Education,Pass,No,No,No,Yes,Yes,Yes
2026-02-20 09:13:07,2026-02-20 09:13:07,IP Address,,100,855,True,2026-02-20 09:13:07,R_F_0019,,,,,,,anonymous,EN,Education,Fail,No,No,No,No,No,No
2026-02-21 10:20:20,2026-02-21 10:20:20,IP Address,,100,607,True,2026-02-21 10:20:20,R_F_0020,,,,,,,anonymous,EN,Business,Pass,No,Yes,No,No,No,Yes
2026-02-22 11:27:33,2026-02-22 11:27:33,IP Address,,100,534,True,2026-02-22 11:27:33,R_F_0021,,,,,,,anonymous,EN,Psychology,Pass,No,No,No,Yes,Yes,Yes
2026-02-23 12:34:46,2026-02-23 12:34:46,IP Address,,100,305,True,2026-02-23 12:34:46,R_F_0022,,,,,,,anonymous,EN,Psychology,Pass,No,No,No,No,No,No
2026-02-24 13:41:59,2026-02-24 13:41:59,IP Address,,100,219,True,2026-02-24 13:41:59,R_F_0023,,,,,,,anonymous,EN,Business,Pass,No,No,No,Yes,No,Yes
2026-02-25 14:48:12,2026-02-25 14:48:12,IP Address,,100,185,True,2026-02-25 14:48:12,R_F_0024,,,,,,,anonymous,EN,Business,Pass,No,No,Yes,Yes,Yes,Yes
2026-02-26 15:55:25,2026-02-26 15:55:25,IP Address,,100,568,True,2026-02-26 15:55:25,R_F_0025,,,,,,,anonymous,EN,Business,Pass,No,Yes,Yes,No,No,Yes
2026-02-27 16:02:38,2026-02-27 16:02:38,IP Address,,100,845,True,2026-02-27 16:02:38,R_F_0026,,,,,,,anonymous,EN,Education,Pass,No,No,No,No,No,No
2026-02-01 08:09:51,2026-02-01 08:09:51,IP Address,,100,233,True,2026-02-01 08:09:51,R_F_0027,,,,,,,anonymous,EN,Education,Pass,No,No,No,No,No,No
2026-02-02 09:16:04,2026-02-02 09:16:04,IP Address,,100,183,True,2026-02-02 09:16:04,R_F_0028,,,,,,,anonymous,EN,Business,Pass,No,No,No,Yes,Yes,Yes
