StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q4
StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,"Please enter your unique ID (first two initials + birth day, e.g. AB05)",Assessment score (0-100)
"{""ImportId"": ""StartDate""}","{""ImportId"": ""EndDate""}","{""ImportId"": ""Status""}","{""ImportId"": ""IPAddress""}","{""ImportId"": ""Progress""}","{""ImportId"": ""Duration (in seconds)""}","{""ImportId"": ""Finished""}","{""ImportId"": ""RecordedDate""}","{""ImportId"": ""ResponseId""}","{""ImportId"": ""RecipientLastName""}","{""ImportId"": ""RecipientFirstName""}","{""ImportId"": ""RecipientEmail""}","{""ImportId"": ""ExternalReference""}","{""ImportId"": ""LocationLatitude""}","{""ImportId"": ""LocationLongitude""}","{""ImportId"": ""DistributionChannel""}","{""ImportId"": ""UserLanguage""}","{""ImportId"": ""Q1""}","{""ImportId"": ""Q4""}"
2026-02-06 13:08:32,2026-02-06 13:08:32,IP Address,,100,204,True,2026-02-06 13:08:32,R_D_POST_0004,,,,,,,anonymous,EN,RI01	,57.2
2026-02-25 14:39:21,2026-02-25 14:39:21,IP Address,,100,105,True,2026-02-25 14:39:21,R_D_POST_0077,,,,,,,anonymous,EN,  NW12  ,89.7
2026-02-13 11:57:03,2026-02-13 11:57:03,IP Address,,100,329,True,2026-02-13 11:57:03,R_D_POST_0011,,,,,,,anonymous,EN,EX12	,80.9
2026-02-17 15:34:46,2026-02-17 15:34:46,IP Address,,100,261,True,2026-02-17 15:34:46,R_D_POST_0042,,,,,,,anonymous,EN,TM22,64.2
2026-02-23 12:16:04,2026-02-23 12:16:04,IP Address,,100,898,True,2026-02-23 12:16:04,R_D_POST_0048,,,,,,,anonymous,EN,IG10	,92.8
2026-02-13 11:06:54,2026-02-13 11:06:54,IP Address,,100,575,True,2026-02-13 11:06:54,R_D_POST_0038,,,,,,,anonymous,EN,  IT02  ,99.8
2026-02-16 14:18:42,2026-02-16 14:18:42,IP Address,,100,640,True,2026-02-16 14:18:42,R_D_POST_0014,,,,,,,anonymous,EN,UI23,100.0
2026-02-20 09:04:16,2026-02-20 09:04:16,IP Address,,100,595,True,2026-02-20 09:04:16,R_D_POST_0072,,,,,,,anonymous,EN,  PR23  ,75.9
2026-02-05 12:19:01,2026-02-05 12:19:01,IP Address,,100,301,True,2026-02-05 12:19:01,R_D_POST_0057,,,,,,,anonymous,EN,GC25,60.5
2026-02-12 10:08:32,2026-02-12 10:08:32,IP Address,,100,561,True,2026-02-12 10:08:32,R_D_POST_0064,,,,,,,anonymous,EN,UU22,100.0
2026-02-23 12:25:55,2026-02-23 12:25:55,IP Address,,100,869,True,2026-02-23 12:25:55,R_D_POST_0075,,,,,,,anonymous,EN,  NW10  ,77.8
2026-02-07 14:15:45,2026-02-07 14:15:45,IP Address,,100,623,True,2026-02-07 14:15:45,R_D_POST_0005,,,,,,,anonymous,EN,lf26,93.7
2026-02-20 09:55:25,2026-02-20 09:55:25,IP Address,,100,74,True,2026-02-20 09:55:25,R_D_POST_0045,,,,,,,anonymous,EN,  QV27  ,56.0
2026-02-13 11:15:45,2026-02-13 11:15:45,IP Address,,100,599,True,2026-02-13 11:15:45,R_D_POST_0065,,,,,,,anonymous,EN,EE25	,48.5
2026-02-27 16:44:56,2026-02-27 16:44:56,IP Address,,100,595,True,2026-02-27 16:44:56,R_D_POST_0052,,,,,,,anonymous,EN,SJ03,50.8
2026-02-18 16:41:59,2026-02-18 16:41:59,IP Address,,100,223,True,2026-02-18 16:41:59,R_D_POST_0043,,,,,,,anonymous,EN,  CC18  ,86.1
2026-02-03 10:56:44,2026-02-03 10:56:44,IP Address,,100,859,True,2026-02-03 10:56:44,R_D_POST_0028,,,,,,,anonymous,EN,WB27	,62.0
2026-02-14 12:13:07,2026-02-14 12:13:07,IP Address,,100,270,True,2026-02-14 12:13:07,R_D_POST_0039,,,,,,,anonymous,EN,IM28,67.9
2026-02-17 15:43:37,2026-02-17 15:43:37,IP Address,,100,736,True,2026-02-17 15:43:37,R_D_POST_0069,,,,,,,anonymous,EN,kq10,42.8
2026-02-21 10:11:29,2026-02-21 10:11:29,IP Address,,100,262,True,2026-02-21 10:11:29,R_D_POST_0073,,,,,,,anonymous,EN,VE21	,86.0
2026-02-10 08:54:06,2026-02-10 08:54:06,IP Address,,100,256,True,2026-02-10 08:54:06,R_D_POST_0062,,,,,,,anonymous,EN,  VB02  ,100.0
2026-02-18 16:32:08,2026-02-18 16:32:08,IP Address,,100,709,True,2026-02-18 16:32:08,R_D_POST_0016,,,,,,,anonymous,EN,  BQ23  ,64.6
2026-02-25 14:30:30,2026-02-25 14:30:30,IP Address,,100,212,True,2026-02-25 14:30:30,R_D_POST_0050,,,,,,,anonymous,EN,ct25,41.3
2026-02-05 12:10:10,2026-02-05 12:10:10,IP Address,,100,772,True,2026-02-05 12:10:10,R_D_POST_0030,,,,,,,anonymous,EN,WQ19,100.0
2026-02-01 08:51:09,2026-02-01 08:51:09,IP Address,,100,834,True,2026-02-01 08:51:09,R_D_POST_0053,,,,,,,anonymous,EN,AJ15,18.9
