StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q4
StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,"Please enter your unique ID (first two initials + birth day, e.g. AB05)",Assessment score (0-100)
"{""ImportId"": ""StartDate""}","{""ImportId"": ""EndDate""}","{""ImportId"": ""Status""}","{""ImportId"": ""IPAddress""}","{""ImportId"": ""Progress""}","{""ImportId"": ""Duration (in seconds)""}","{""ImportId"": ""Finished""}","{""ImportId"": ""RecordedDate""}","{""ImportId"": ""ResponseId""}","{""ImportId"": ""RecipientLastName""}","{""ImportId"": ""RecipientFirstName""}","{""ImportId"": ""RecipientEmail""}","{""ImportId"": ""ExternalReference""}","{""ImportId"": ""LocationLatitude""}","{""ImportId"": ""LocationLongitude""}","{""ImportId"": ""DistributionChannel""}","{""ImportId"": ""UserLanguage""}","{""ImportId"": ""Q1""}","{""ImportId"": ""Q4""}"
2026-02-24 13:59:41,2026-02-24 13:59:41,IP Address,,100,698,True,2026-02-24 13:59:41,R_D_PRE_0077,,,,,,,anonymous,EN,PR23,69.0
2026-02-04 11:30:30,2026-02-04 11:30:30,IP Address,,100,799,True,2026-02-04 11:30:30,R_D_PRE_0030,,,,,,,anonymous,EN,TY23,82.8
2026-02-22 11:27:33,2026-02-22 11:27:33,IP Address,,100,396,True,2026-02-22 11:27:33,R_D_PRE_0021,,,,,,,anonymous,EN,BQ23,54.6
2026-02-26 15:13:07,2026-02-26 15:13:07,IP Address,,100,777,True,2026-02-26 15:13:07,R_D_PRE_0079,,,,,,,anonymous,EN,EW13,77.7
2026-02-19 08:24:36,2026-02-19 08:24:36,IP Address,,100,309,True,2026-02-19 08:24:36,R_D_PRE_0072,,,,,,,anonymous,EN,FO17,46.3
2026-02-03 10:23:17,2026-02-03 10:23:17,IP Address,,100,298,True,2026-02-03 10:23:17,R_D_PRE_0029,,,,,,,anonymous,EN,IG02,68.3
2026-02-18 16:08:32,2026-02-18 16:08:32,IP Address,,100,731,True,2026-02-18 16:08:32,R_D_PRE_0044,,,,,,,anonymous,EN,IM28,56.5
2026-02-23 12:52:28,2026-02-23 12:52:28,IP Address,,100,118,True,2026-02-23 12:52:28,R_D_PRE_0076,,,,,,,anonymous,EN,KN10,62.3
2026-02-07 14:51:09,2026-02-07 14:51:09,IP Address,,100,212,True,2026-02-07 14:51:09,R_D_PRE_0033,,,,,,,anonymous,EN,WB27,55.2
2026-02-26 15:04:16,2026-02-26 15:04:16,IP Address,,100,336,True,2026-02-26 15:04:16,R_D_PRE_0052,,,,,,,anonymous,EN,ER01,83.8
2026-02-24 13:50:50,2026-02-24 13:50:50,IP Address,,100,838,True,2026-02-24 13:50:50,R_D_PRE_0050,,,,,,,anonymous,EN,QV27,51.5
2026-02-12 10:35:05,2026-02-12 10:35:05,IP Address,,100,483,True,2026-02-12 10:35:05,R_D_PRE_0065,,,,,,,anonymous,EN,QY12,69.7
2026-02-08 15:49:31,2026-02-08 15:49:31,IP Address,,100,303,True,2026-02-08 15:49:31,R_D_PRE_0007,,,,,,,anonymous,EN,AK26,45.2
2026-02-14 12:31:49,2026-02-14 12:31:49,IP Address,,100,220,True,2026-02-14 12:31:49,R_D_PRE_0013,,,,,,,anonymous,EN,IU23,67.6
2026-02-09 16:05:35,2026-02-09 16:05:35,IP Address,,100,250,True,2026-02-09 16:05:35,R_D_PRE_0035,,,,,,,anonymous,EN,WQ19,100.0
2026-02-19 08:06:54,2026-02-19 08:06:54,IP Address,,100,702,True,2026-02-19 08:06:54,R_D_PRE_0018,,,,,,,anonymous,EN,UN02,73.2
2026-02-18 16:17:23,2026-02-18 16:17:23,IP Address,,100,629,True,2026-02-18 16:17:23,R_D_PRE_0071,,,,,,,anonymous,EN,XL06,49.4
2026-02-09 16:14:26,2026-02-09 16:14:26,IP Address,,100,207,True,2026-02-09 16:14:26,R_D_PRE_0062,,,,,,,anonymous,EN,GC25,58.7
2026-02-18 16:59:41,2026-02-18 16:59:41,IP Address,,100,832,True,2026-02-18 16:59:41,R_D_PRE_0017,,,,,,,anonymous,EN,PR08,30.8
2026-02-11 09:19:01,2026-02-11 09:19:01,IP Address,,100,218,True,2026-02-11 09:19:01,R_D_PRE_0037,,,,,,,anonymous,EN,AD26,75.1
2026-02-23 12:34:46,2026-02-23 12:34:46,IP Address,,100,795,True,2026-02-23 12:34:46,R_D_PRE_0022,,,,,,,anonymous,EN,FC16,64.1
2026-02-16 14:45:15,2026-02-16 14:45:15,IP Address,,100,451,True,2026-02-16 14:45:15,R_D_PRE_0015,,,,,,,anonymous,EN,LU13,61.2
2026-02-13 11:33:27,2026-02-13 11:33:27,IP Address,,100,473,True,2026-02-13 11:33:27,R_D_PRE_0039,,,,,,,anonymous,EN,WQ17,77.0
2026-02-15 13:38:02,2026-02-15 13:38:02,IP Address,,100,562,True,2026-02-15 13:38:02,R_D_PRE_0014,,,,,,,anonymous,EN,JY18,82.4
2026-02-14 12:49:31,2026-02-14 12:49:31,IP Address,,100,277,True,2026-02-14 12:49:31,R_D_PRE_0067,,,,,,,anonymous,EN,VB02,89.2
