StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,Q4_21,Q4_22,Q4_23,Q4_24,Q4_25,SC0
StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,"Please enter your unique ID (first two initials + birth day, e.g. AB05)",Group,Scale item 1: engagement statement,Scale item 2: engagement statement,Scale item 3: engagement statement,Scale item 4: engagement statement,Scale item 5: engagement statement,Scale item 6: engagement statement,Scale item 7: engagement statement,Scale item 8: engagement statement,"Test item 1 (correct=1, incorrect=0)","Test item 2 (correct=1, incorrect=0)","Test item 3 (correct=1, incorrect=0)","Test item 4 (correct=1, incorrect=0)","Test item 5 (correct=1, incorrect=0)","Test item 6 (correct=1, incorrect=0)","Test item 7 (correct=1, incorrect=0)","Test item 8 (correct=1, incorrect=0)","Test item 9 (correct=1, incorrect=0)","Test item 10 (correct=1, incorrect=0)","Test item 11 (correct=1, incorrect=0)","Test item 12 (correct=1, incorrect=0)","Test item 13 (correct=1, incorrect=0)","Test item 14 (correct=1, incorrect=0)","Test item 15 (correct=1, incorrect=0)","Test item 16 (correct=1, incorrect=0)","Test item 17 (correct=1, incorrect=0)","Test item 18 (correct=1, incorrect=0)","Test item 19 (correct=1, incorrect=0)","Test item 20 (correct=1, incorrect=0)","Test item 21 (correct=1, incorrect=0)","Test item 22 (correct=1, incorrect=0)","Test item 23 (correct=1, incorrect=0)","Test item 24 (correct=1, incorrect=0)","Test item 25 (correct=1, incorrect=0)",Total correct (0-25)
"{""ImportId"": ""StartDate""}","{""ImportId"": ""EndDate""}","{""ImportId"": ""Status""}","{""ImportId"": ""IPAddress""}","{""ImportId"": ""Progress""}","{""ImportId"": ""Duration (in seconds)""}","{""ImportId"": ""Finished""}","{""ImportId"": ""RecordedDate""}","{""ImportId"": ""ResponseId""}","{""ImportId"": ""RecipientLastName""}","{""ImportId"": ""RecipientFirstName""}","{""ImportId"": ""RecipientEmail""}","{""ImportId"": ""ExternalReference""}","{""ImportId"": ""LocationLatitude""}","{""ImportId"": ""LocationLongitude""}","{""ImportId"": ""DistributionChannel""}","{""ImportId"": ""UserLanguage""}","{""ImportId"": ""Q1""}","{""ImportId"": ""Q2""}","{""ImportId"": ""Q3_1""}","{""ImportId"": ""Q3_2""}","{""ImportId"": ""Q3_3""}","{""ImportId"": ""Q3_4""}","{""ImportId"": ""Q3_5""}","{""ImportId"": ""Q3_6""}","{""ImportId"": ""Q3_7""}","{""ImportId"": ""Q3_8""}","{""ImportId"": ""Q4_1""}","{""ImportId"": ""Q4_2""}","{""ImportId"": ""Q4_3""}","{""ImportId"": ""Q4_4""}","{""ImportId"": ""Q4_5""}","{""ImportId"": ""Q4_6""}","{""ImportId"": ""Q4_7""}","{""ImportId"": ""Q4_8""}","{""ImportId"": ""Q4_9""}","{""ImportId"": ""Q4_10""}","{""ImportId"": ""Q4_11""}","{""ImportId"": ""Q4_12""}","{""ImportId"": ""Q4_13""}","{""ImportId"": ""Q4_14""}","{""ImportId"": ""Q4_15""}","{""ImportId"": ""Q4_16""}","{""ImportId"": ""Q4_17""}","{""ImportId"": ""Q4_18""}","{""ImportId"": ""Q4_19""}","{""ImportId"": ""Q4_20""}","{""ImportId"": ""Q4_21""}","{""ImportId"": ""Q4_22""}","{""ImportId"": ""Q4_23""}","{""ImportId"": ""Q4_24""}","{""ImportId"": ""Q4_25""}","{""ImportId"": ""SC0""}"
2026-02-21 10:56:44,2026-02-21 10:56:44,IP Address,,100,234,True,2026-02-21 10:56:44,R_I_FU_01208,,,,,,,anonymous,EN,GJ04,Intervention B,4,5,4,2,5,4,4,4,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,18
2026-02-05 12:13:07,2026-02-05 12:13:07,IP Address,,100,474,True,2026-02-05 12:13:07,R_I_FU_01219,,,,,,,anonymous,EN,RY09,Intervention B,4,3,4,5,4,4,4,4,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,20
2026-02-11 09:01:19,2026-02-11 09:01:19,IP Address,,100,430,True,2026-02-11 09:01:19,R_I_FU_01063,,,,,,,anonymous,EN,HT10,Intervention A,4,3,3,3,5,3,4,4,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,19
2026-02-06 13:17:23,2026-02-06 13:17:23,IP Address,,100,221,True,2026-02-06 13:17:23,R_I_FU_01031,,,,,,,anonymous,EN,YS01,Intervention A,3,2,4,2,3,4,4,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,11
2026-02-21 10:44:56,2026-02-21 10:44:56,IP Address,,100,355,True,2026-02-21 10:44:56,R_I_FU_00992,,,,,,,anonymous,EN,FF21,Control,2,3,3,2,3,2,4,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,15
2026-02-16 14:39:21,2026-02-16 14:39:21,IP Address,,100,715,True,2026-02-16 14:39:21,R_I_FU_01257,,,,,,,anonymous,EN,CA09,Intervention B,4,4,5,4,5,5,5,5,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,14
2026-02-18 16:50:50,2026-02-18 16:50:50,IP Address,,100,853,True,2026-02-18 16:50:50,R_I_FU_01070,,,,,,,anonymous,EN,JB12,Intervention A,3,3,3,3,3,3,3,4,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,12
2026-02-14 12:25:55,2026-02-14 12:25:55,IP Address,,100,862,True,2026-02-14 12:25:55,R_I_FU_01255,,,,,,,anonymous,EN,VU27,Intervention B,5,5,5,4,5,4,5,5,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,20
