StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,Q4_21,Q4_22,Q4_23,Q4_24,Q4_25,SC0
StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,"Please enter your unique ID (first two initials + birth day, e.g. AB05)",Group,Scale item 1: engagement statement,Scale item 2: engagement statement,Scale item 3: engagement statement,Scale item 4: engagement statement,Scale item 5: engagement statement,Scale item 6: engagement statement,Scale item 7: engagement statement,Scale item 8: engagement statement,"Test item 1 (correct=1, incorrect=0)","Test item 2 (correct=1, incorrect=0)","Test item 3 (correct=1, incorrect=0)","Test item 4 (correct=1, incorrect=0)","Test item 5 (correct=1, incorrect=0)","Test item 6 (correct=1, incorrect=0)","Test item 7 (correct=1, incorrect=0)","Test item 8 (correct=1, incorrect=0)","Test item 9 (correct=1, incorrect=0)","Test item 10 (correct=1, incorrect=0)","Test item 11 (correct=1, incorrect=0)","Test item 12 (correct=1, incorrect=0)","Test item 13 (correct=1, incorrect=0)","Test item 14 (correct=1, incorrect=0)","Test item 15 (correct=1, incorrect=0)","Test item 16 (correct=1, incorrect=0)","Test item 17 (correct=1, incorrect=0)","Test item 18 (correct=1, incorrect=0)","Test item 19 (correct=1, incorrect=0)","Test item 20 (correct=1, incorrect=0)","Test item 21 (correct=1, incorrect=0)","Test item 22 (correct=1, incorrect=0)","Test item 23 (correct=1, incorrect=0)","Test item 24 (correct=1, incorrect=0)","Test item 25 (correct=1, incorrect=0)",Total correct (0-25)
"{""ImportId"": ""StartDate""}","{""ImportId"": ""EndDate""}","{""ImportId"": ""Status""}","{""ImportId"": ""IPAddress""}","{""ImportId"": ""Progress""}","{""ImportId"": ""Duration (in seconds)""}","{""ImportId"": ""Finished""}","{""ImportId"": ""RecordedDate""}","{""ImportId"": ""ResponseId""}","{""ImportId"": ""RecipientLastName""}","{""ImportId"": ""RecipientFirstName""}","{""ImportId"": ""RecipientEmail""}","{""ImportId"": ""ExternalReference""}","{""ImportId"": ""LocationLatitude""}","{""ImportId"": ""LocationLongitude""}","{""ImportId"": ""DistributionChannel""}","{""ImportId"": ""UserLanguage""}","{""ImportId"": ""Q1""}","{""ImportId"": ""Q2""}","{""ImportId"": ""Q3_1""}","{""ImportId"": ""Q3_2""}","{""ImportId"": ""Q3_3""}","{""ImportId"": ""Q3_4""}","{""ImportId"": ""Q3_5""}","{""ImportId"": ""Q3_6""}","{""ImportId"": ""Q3_7""}","{""ImportId"": ""Q3_8""}","{""ImportId"": ""Q4_1""}","{""ImportId"": ""Q4_2""}","{""ImportId"": ""Q4_3""}","{""ImportId"": ""Q4_4""}","{""ImportId"": ""Q4_5""}","{""ImportId"": ""Q4_6""}","{""ImportId"": ""Q4_7""}","{""ImportId"": ""Q4_8""}","{""ImportId"": ""Q4_9""}","{""ImportId"": ""Q4_10""}","{""ImportId"": ""Q4_11""}","{""ImportId"": ""Q4_12""}","{""ImportId"": ""Q4_13""}","{""ImportId"": ""Q4_14""}","{""ImportId"": ""Q4_15""}","{""ImportId"": ""Q4_16""}","{""ImportId"": ""Q4_17""}","{""ImportId"": ""Q4_18""}","{""ImportId"": ""Q4_19""}","{""ImportId"": ""Q4_20""}","{""ImportId"": ""Q4_21""}","{""ImportId"": ""Q4_22""}","{""ImportId"": ""Q4_23""}","{""ImportId"": ""Q4_24""}","{""ImportId"": ""Q4_25""}","{""ImportId"": ""SC0""}"
2026-02-25 14:51:09,2026-02-25 14:51:09,IP Address,,100,63,True,2026-02-25 14:51:09,R_I_POST_00753,,,,,,,anonymous,EN,XK09,Intervention B,5,5,5,5,5,4,5,5,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,20
2026-02-10 08:30:30,2026-02-10 08:30:30,IP Address,,100,825,True,2026-02-10 08:30:30,R_I_POST_00630,,,,,,,anonymous,EN,VI11,Intervention A,5,3,3,2,4,4,4,5,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,12
2026-02-25 14:06:54,2026-02-25 14:06:54,IP Address,,100,255,True,2026-02-25 14:06:54,R_I_POST_00618,,,,,,,anonymous,EN,AZ27,Intervention A,4,4,4,4,4,5,3,4,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,18
2026-02-24 13:35:05,2026-02-24 13:35:05,IP Address,,100,162,True,2026-02-24 13:35:05,R_I_POST_00725,,,,,,,anonymous,EN,XR10,Intervention A,3,2,3,3,4,4,4,3,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,12
2026-02-25 14:33:27,2026-02-25 14:33:27,IP Address,,100,412,True,2026-02-25 14:33:27,R_I_POST_00699,,,,,,,anonymous,EN,VC06,Intervention A,4,4,2,3,4,3,3,2,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,13
2026-02-03 10:53:47,2026-02-03 10:53:47,IP Address,,100,401,True,2026-02-03 10:53:47,R_I_POST_00839,,,,,,,anonymous,EN,UV18,Intervention B,4,4,4,4,4,4,5,4,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,20
2026-02-18 16:11:29,2026-02-18 16:11:29,IP Address,,100,449,True,2026-02-18 16:11:29,R_I_POST_00773,,,,,,,anonymous,EN,WK11,Intervention B,4,4,4,4,4,4,3,5,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,19
2026-02-18 16:17:23,2026-02-18 16:17:23,IP Address,,100,752,True,2026-02-18 16:17:23,R_I_POST_00611,,,,,,,anonymous,EN,UB13,Intervention A,2,3,3,3,3,3,2,3,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,14
