StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,Q4_21,Q4_22,Q4_23,Q4_24,Q4_25,SC0
StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,"Please enter your unique ID (first two initials + birth day, e.g. AB05)",Group,Scale item 1: engagement statement,Scale item 2: engagement statement,Scale item 3: engagement statement,Scale item 4: engagement statement,Scale item 5: engagement statement,Scale item 6: engagement statement,Scale item 7: engagement statement,Scale item 8: engagement statement,"Test item 1 (correct=1, incorrect=0)","Test item 2 (correct=1, incorrect=0)","Test item 3 (correct=1, incorrect=0)","Test item 4 (correct=1, incorrect=0)","Test item 5 (correct=1, incorrect=0)","Test item 6 (correct=1, incorrect=0)","Test item 7 (correct=1, incorrect=0)","Test item 8 (correct=1, incorrect=0)","Test item 9 (correct=1, incorrect=0)","Test item 10 (correct=1, incorrect=0)","Test item 11 (correct=1, incorrect=0)","Test item 12 (correct=1, incorrect=0)","Test item 13 (correct=1, incorrect=0)","Test item 14 (correct=1, incorrect=0)","Test item 15 (correct=1, incorrect=0)","Test item 16 (correct=1, incorrect=0)","Test item 17 (correct=1, incorrect=0)","Test item 18 (correct=1, incorrect=0)","Test item 19 (correct=1, incorrect=0)","Test item 20 (correct=1, incorrect=0)","Test item 21 (correct=1, incorrect=0)","Test item 22 (correct=1, incorrect=0)","Test item 23 (correct=1, incorrect=0)","Test item 24 (correct=1, incorrect=0)","Test item 25 (correct=1, incorrect=0)",Total correct (0-25)
"{""ImportId"": ""StartDate""}","{""ImportId"": ""EndDate""}","{""ImportId"": ""Status""}","{""ImportId"": ""IPAddress""}","{""ImportId"": ""Progress""}","{""ImportId"": ""Duration (in seconds)""}","{""ImportId"": ""Finished""}","{""ImportId"": ""RecordedDate""}","{""ImportId"": ""ResponseId""}","{""ImportId"": ""RecipientLastName""}","{""ImportId"": ""RecipientFirstName""}","{""ImportId"": ""RecipientEmail""}","{""ImportId"": ""ExternalReference""}","{""ImportId"": ""LocationLatitude""}","{""ImportId"": ""LocationLongitude""}","{""ImportId"": ""DistributionChannel""}","{""ImportId"": ""UserLanguage""}","{""ImportId"": ""Q1""}","{""ImportId"": ""Q2""}","{""ImportId"": ""Q3_1""}","{""ImportId"": ""Q3_2""}","{""ImportId"": ""Q3_3""}","{""ImportId"": ""Q3_4""}","{""ImportId"": ""Q3_5""}","{""ImportId"": ""Q3_6""}","{""ImportId"": ""Q3_7""}","{""ImportId"": ""Q3_8""}","{""ImportId"": ""Q4_1""}","{""ImportId"": ""Q4_2""}","{""ImportId"": ""Q4_3""}","{""ImportId"": ""Q4_4""}","{""ImportId"": ""Q4_5""}","{""ImportId"": ""Q4_6""}","{""ImportId"": ""Q4_7""}","{""ImportId"": ""Q4_8""}","{""ImportId"": ""Q4_9""}","{""ImportId"": ""Q4_10""}","{""ImportId"": ""Q4_11""}","{""ImportId"": ""Q4_12""}","{""ImportId"": ""Q4_13""}","{""ImportId"": ""Q4_14""}","{""ImportId"": ""Q4_15""}","{""ImportId"": ""Q4_16""}","{""ImportId"": ""Q4_17""}","{""ImportId"": ""Q4_18""}","{""ImportId"": ""Q4_19""}","{""ImportId"": ""Q4_20""}","{""ImportId"": ""Q4_21""}","{""ImportId"": ""Q4_22""}","{""ImportId"": ""Q4_23""}","{""ImportId"": ""Q4_24""}","{""ImportId"": ""Q4_25""}","{""ImportId"": ""SC0""}"
2026-02-01 08:36:24,2026-02-01 08:36:24,IP Address,,100,124,True,2026-02-01 08:36:24,R_I_PRE_00108,,,,,,,anonymous,EN,IK14,Control,4,3,5,4,3,5,3,4,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,12
2026-02-20 09:31:49,2026-02-20 09:31:49,IP Address,,100,829,True,2026-02-20 09:31:49,R_I_PRE_00073,,,,,,,anonymous,EN,EF18,Control,3,2,2,4,3,2,3,3,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,11
2026-02-08 15:07:13,2026-02-08 15:07:13,IP Address,,100,125,True,2026-02-08 15:07:13,R_I_PRE_00061,,,,,,,anonymous,EN,SI03,Control,4,4,4,4,4,3,2,4,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,21
2026-02-16 14:12:48,2026-02-16 14:12:48,IP Address,,100,372,True,2026-02-16 14:12:48,R_I_PRE_00096,,,,,,,anonymous,EN,YS21,Control,3,3,3,3,3,2,4,2,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,8
2026-02-10 08:03:57,2026-02-10 08:03:57,IP Address,,100,128,True,2026-02-10 08:03:57,R_I_PRE_00009,,,,,,,anonymous,EN,MO15,Control,1,1,3,4,4,3,3,3,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,8
2026-02-11 09:55:25,2026-02-11 09:55:25,IP Address,,100,105,True,2026-02-11 09:55:25,R_I_PRE_00145,,,,,,,anonymous,EN,DQ07,Control,3,1,4,2,3,3,2,3,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,10
2026-02-17 15:52:28,2026-02-17 15:52:28,IP Address,,100,407,True,2026-02-17 15:52:28,R_I_PRE_00016,,,,,,,anonymous,EN,SR22,Control,4,4,3,3,4,3,4,3,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,13
2026-02-09 16:59:41,2026-02-09 16:59:41,IP Address,,100,95,True,2026-02-09 16:59:41,R_I_PRE_00197,,,,,,,anonymous,EN,VJ02,Intervention A,3,4,4,4,3,3,3,4,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,17
