StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10
StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Matrix item 1: statement about the training program (positively worded),Matrix item 2: statement about the training program (positively worded),Matrix item 3: statement about the training program (reverse-worded),Matrix item 4: statement about the training program (positively worded),Matrix item 5: statement about the training program (positively worded),Matrix item 6: statement about the training program (positively worded),Matrix item 7: statement about the training program (positively worded),Matrix item 8: statement about the training program (reverse-worded),Matrix item 9: statement about the training program (positively worded),Matrix item 10: statement about the training program (positively worded)
"{""ImportId"": ""StartDate""}","{""ImportId"": ""EndDate""}","{""ImportId"": ""Status""}","{""ImportId"": ""IPAddress""}","{""ImportId"": ""Progress""}","{""ImportId"": ""Duration (in seconds)""}","{""ImportId"": ""Finished""}","{""ImportId"": ""RecordedDate""}","{""ImportId"": ""ResponseId""}","{""ImportId"": ""RecipientLastName""}","{""ImportId"": ""RecipientFirstName""}","{""ImportId"": ""RecipientEmail""}","{""ImportId"": ""ExternalReference""}","{""ImportId"": ""LocationLatitude""}","{""ImportId"": ""LocationLongitude""}","{""ImportId"": ""DistributionChannel""}","{""ImportId"": ""UserLanguage""}","{""ImportId"": ""Q3_1""}","{""ImportId"": ""Q3_2""}","{""ImportId"": ""Q3_3""}","{""ImportId"": ""Q3_4""}","{""ImportId"": ""Q3_5""}","{""ImportId"": ""Q3_6""}","{""ImportId"": ""Q3_7""}","{""ImportId"": ""Q3_8""}","{""ImportId"": ""Q3_9""}","{""ImportId"": ""Q3_10""}"
2026-02-01 08:00:00,2026-02-01 08:00:00,IP Address,,100,831,True,2026-02-01 08:00:00,R_A_PRE_0001,,,,,,,anonymous,EN,4,4,1,3,4,4,5,2,3,4
2026-02-02 09:07:13,2026-02-02 09:07:13,IP Address,,100,222,True,2026-02-02 09:07:13,R_A_PRE_0002,,,,,,,anonymous,EN,4,4,1,3,4,2,4,3,4,3
2026-02-03 10:14:26,2026-02-03 10:14:26,IP Address,,100,265,True,2026-02-03 10:14:26,R_A_PRE_0003,,,,,,,anonymous,EN,3,3,5,3,2,3,2,3,4,4
2026-02-04 11:21:39,2026-02-04 11:21:39,IP Address,,100,440,True,2026-02-04 11:21:39,R_A_PRE_0004,,,,,,,anonymous,EN,3,4,3,3,3,2,2,2,4,3
2026-02-05 12:28:52,2026-02-05 12:28:52,IP Address,,100,560,True,2026-02-05 12:28:52,R_A_PRE_0005,,,,,,,anonymous,EN,2,3,4,2,1,2,2,3,3,2
2026-02-06 13:35:05,2026-02-06 13:35:05,IP Address,,100,576,True,2026-02-06 13:35:05,R_A_PRE_0006,,,,,,,anonymous,EN,4,3,2,3,3,3,3,3,2,3
2026-02-07 14:42:18,2026-02-07 14:42:18,IP Address,,100,260,True,2026-02-07 14:42:18,R_A_PRE_0007,,,,,,,anonymous,EN,3,4,2,3,3,4,4,4,3,3
2026-02-08 15:49:31,2026-02-08 15:49:31,IP Address,,100,67,True,2026-02-08 15:49:31,R_A_PRE_0008,,,,,,,anonymous,EN,2,2,3,3,2,2,2,3,2,3
