essay_id,rater1,rater2,rater3
E001,3,3,1
E002,5,5,4
E003,4,4,4
E004,2,,1
E005,3,3,3
E006,3,4,4
E007,1,1,2
E008,5,3,5
E009,3,4,3
E010,4,5,4
E011,,2,2
E012,4,5,4
E013,5,3,5
E014,3,4,3
E015,4,2,3
E016,3,2,2
E017,1,1,1
E018,4,2,4
E019,2,2,2
E020,2,3,3
E021,4,5,3
E022,2,4,2
E023,4,3,5
E024,3,4,1
E025,1,2,2
E026,4,4,
E027,3,3,3
E028,5,3,4
E029,4,4,5
E030,2,3,2
E031,3,4,4
E032,4,3,2
E033,4,5,4
E034,3,3,4
E035,2,2,2
E036,1,3,2
E037,3,5,5
E038,4,5,4
E039,2,3,2
E040,5,4,4
E041,2,,2
E042,3,3,3
E043,4,4,4
E044,5,5,3
E045,2,1,1
E046,3,4,4
E047,3,5,5
E048,1,2,3
E049,4,3,1
E050,4,4,4
E051,2,2,2
E052,2,3,5
E053,4,3,3
E054,2,3,2
E055,3,5,4
E056,,2,3
E057,3,4,4
E058,3,3,4
E059,3,4,3
E060,3,5,4
