essay_id,rater_a_category,rater_b_category
E001,Organization,Thesis clarity
E002,Thesis clarity,Thesis clarity
E003,Evidence use,Evidence use
E004,Evidence use,Mechanics
E005,Evidence use,Organization
E006,Thesis clarity,Evidence use
E007,Thesis clarity,Evidence use
E008,Thesis clarity,Thesis clarity
E009,Evidence use,Mechanics
E010,Organization,Organization
E011,Evidence use,Thesis clarity
E012,Evidence use,Thesis clarity
E013,Organization,Organization
E014,Thesis clarity,Thesis clarity
E015,Mechanics,Mechanics
E016,Thesis clarity,Thesis clarity
E017,Mechanics,Mechanics
E018,Thesis clarity,Thesis clarity
E019,Organization,Organization
E020,Evidence use,Evidence use
E021,Organization,Organization
E022,Thesis clarity,Thesis clarity
E023,Evidence use,Evidence use
E024,Thesis clarity,Thesis clarity
E025,Thesis clarity,Mechanics
E026,Mechanics,Mechanics
E027,Evidence use,Evidence use
E028,Evidence use,Organization
E029,Organization,Thesis clarity
E030,Evidence use,Evidence use
E031,Organization,Thesis clarity
E032,Evidence use,Evidence use
E033,Thesis clarity,Thesis clarity
E034,Organization,Organization
E035,Thesis clarity,Mechanics
E036,Evidence use,Mechanics
E037,Evidence use,Evidence use
E038,Thesis clarity,Thesis clarity
E039,Evidence use,Evidence use
E040,Organization,Organization
E041,Organization,Organization
E042,Evidence use,Evidence use
E043,Organization,Organization
E044,Evidence use,Evidence use
E045,Thesis clarity,Thesis clarity
E046,Evidence use,Evidence use
E047,Thesis clarity,Thesis clarity
E048,Evidence use,Evidence use
E049,Evidence use,Evidence use
E050,Organization,Evidence use
E051,Thesis clarity,Mechanics
E052,Organization,Organization
E053,Mechanics,Mechanics
E054,Thesis clarity,Evidence use
E055,Evidence use,Evidence use
E056,Mechanics,Mechanics
E057,Evidence use,Evidence use
E058,Thesis clarity,Thesis clarity
E059,Mechanics,Mechanics
E060,Evidence use,Evidence use
