StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9,Q10
StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,What is your gender?,What is your program?,About how many hours per week did you study?,What is your current GPA (0-4 scale)?,Pretest score (0-100),Posttest score (0-100),Motivation item 1: statement about study motivation,Motivation item 2: statement about study motivation,Motivation item 3: statement about study motivation,Motivation item 4: statement about study motivation,Motivation item 5: statement about study motivation,Motivation item 6: statement about study motivation,Did you pass the course?,About how many minutes per week did you study?
"{""ImportId"": ""StartDate""}","{""ImportId"": ""EndDate""}","{""ImportId"": ""Status""}","{""ImportId"": ""IPAddress""}","{""ImportId"": ""Progress""}","{""ImportId"": ""Duration (in seconds)""}","{""ImportId"": ""Finished""}","{""ImportId"": ""RecordedDate""}","{""ImportId"": ""ResponseId""}","{""ImportId"": ""RecipientLastName""}","{""ImportId"": ""RecipientFirstName""}","{""ImportId"": ""RecipientEmail""}","{""ImportId"": ""ExternalReference""}","{""ImportId"": ""LocationLatitude""}","{""ImportId"": ""LocationLongitude""}","{""ImportId"": ""DistributionChannel""}","{""ImportId"": ""UserLanguage""}","{""ImportId"": ""Q2""}","{""ImportId"": ""Q3""}","{""ImportId"": ""Q4""}","{""ImportId"": ""Q5""}","{""ImportId"": ""Q6""}","{""ImportId"": ""Q7""}","{""ImportId"": ""Q8_1""}","{""ImportId"": ""Q8_2""}","{""ImportId"": ""Q8_3""}","{""ImportId"": ""Q8_4""}","{""ImportId"": ""Q8_5""}","{""ImportId"": ""Q8_6""}","{""ImportId"": ""Q9""}","{""ImportId"": ""Q10""}"
2026-02-01 08:00:00,2026-02-01 08:00:00,IP Address,,100,706,True,2026-02-01 08:00:00,R_E_0000,,,,,,,anonymous,EN,Male,Education,0.5,1.76,48.3,53.2,1,1,1,1,1,2,Fail,11.4
2026-02-02 09:07:13,2026-02-02 09:07:13,IP Address,,100,78,True,2026-02-02 09:07:13,R_E_0001,,,,,,,anonymous,EN,Female,Education,9.45,2.09,58.9,60.0,2,4,4,4,2,3,Fail,590.9
2026-02-03 10:14:26,2026-02-03 10:14:26,IP Address,,100,487,True,2026-02-03 10:14:26,R_E_0002,,,,,,,anonymous,EN,Male,Psychology,1.86,1.96,59.7,53.0,2,2,3,2,2,2,Fail,111.9
2026-02-04 11:21:39,2026-02-04 11:21:39,IP Address,,100,107,True,2026-02-04 11:21:39,R_E_0003,,,,,,,anonymous,EN,Female,Psychology,2.36,1.89,66.5,65.8,1,2,2,1,1,1,Pass,134.0
2026-02-05 12:28:52,2026-02-05 12:28:52,IP Address,,100,652,True,2026-02-05 12:28:52,R_E_0004,,,,,,,anonymous,EN,Male,Psychology,3.34,1.67,71.5,70.6,2,2,,2,3,4,Pass,225.8
2026-02-06 13:35:05,2026-02-06 13:35:05,IP Address,,100,139,True,2026-02-06 13:35:05,R_E_0005,,,,,,,anonymous,EN,Female,Education,6.07,2.47,66.6,47.1,3,4,3,3,4,3,Fail,353.5
2026-02-07 14:42:18,2026-02-07 14:42:18,IP Address,,100,566,True,2026-02-07 14:42:18,R_E_0006,,,,,,,anonymous,EN,Male,Education,12.02,2.12,67.5,92.1,3,3,4,3,4,3,Pass,725.9
2026-02-08 15:49:31,2026-02-08 15:49:31,IP Address,,100,626,True,2026-02-08 15:49:31,R_E_0007,,,,,,,anonymous,EN,Female,Psychology,9.35,1.79,70.2,65.3,4,4,4,4,4,4,Pass,561.8
2026-02-09 16:56:44,2026-02-09 16:56:44,IP Address,,100,213,True,2026-02-09 16:56:44,R_E_0008,,,,,,,anonymous,EN,Nonbinary,Education,7.01,1.35,72.6,51.6,3,2,4,2,3,3,Fail,434.5
2026-02-10 08:03:57,2026-02-10 08:03:57,IP Address,,100,767,True,2026-02-10 08:03:57,R_E_0009,,,,,,,anonymous,EN,Male,Education,12.51,1.16,69.7,73.0,4,5,5,5,5,4,Pass,739.4
2026-02-11 09:10:10,2026-02-11 09:10:10,IP Address,,100,581,True,2026-02-11 09:10:10,R_E_0010,,,,,,,anonymous,EN,Male,Psychology,8.59,2.4,61.2,58.4,4,3,3,3,3,2,Fail,496.9
2026-02-12 10:17:23,2026-02-12 10:17:23,IP Address,,100,220,True,2026-02-12 10:17:23,R_E_0011,,,,,,,anonymous,EN,Female,Psychology,6.64,,72.0,82.6,2,3,4,2,3,4,Pass,385.6
2026-02-13 11:24:36,2026-02-13 11:24:36,IP Address,,100,689,True,2026-02-13 11:24:36,R_E_0012,,,,,,,anonymous,EN,Male,Psychology,3.43,1.68,54.1,55.9,1,2,,2,2,2,Fail,210.8
2026-02-14 12:31:49,2026-02-14 12:31:49,IP Address,,100,367,True,2026-02-14 12:31:49,R_E_0013,,,,,,,anonymous,EN,Male,Psychology,13.51,1.76,70.8,82.3,2,2,3,3,2,4,Pass,786.3
2026-02-15 13:38:02,2026-02-15 13:38:02,IP Address,,100,236,True,2026-02-15 13:38:02,R_E_0014,,,,,,,anonymous,EN,Male,Business,7.33,2.32,68.1,66.6,4,4,3,4,3,4,Pass,452.7
2026-02-16 14:45:15,2026-02-16 14:45:15,IP Address,,100,214,True,2026-02-16 14:45:15,R_E_0015,,,,,,,anonymous,EN,Male,Psychology,11.61,2.07,67.1,71.8,3,2,,3,2,3,Pass,699.2
2026-02-17 15:52:28,2026-02-17 15:52:28,IP Address,,100,367,True,2026-02-17 15:52:28,R_E_0016,,,,,,,anonymous,EN,Male,Psychology,6.98,2.37,80.3,79.8,4,3,3,4,4,4,Pass,437.0
2026-02-18 16:59:41,2026-02-18 16:59:41,IP Address,,100,708,True,2026-02-18 16:59:41,R_E_0017,,,,,,,anonymous,EN,Male,Education,10.34,2.81,75.4,6.0,3,4,2,2,2,3,Fail,602.7
2026-02-19 08:06:54,2026-02-19 08:06:54,IP Address,,100,645,True,2026-02-19 08:06:54,R_E_0018,,,,,,,anonymous,EN,Male,Psychology,2.01,1.97,46.4,42.0,2,1,2,3,3,2,Fail,145.3
2026-02-20 09:13:07,2026-02-20 09:13:07,IP Address,,100,208,True,2026-02-20 09:13:07,R_E_0019,,,,,,,anonymous,EN,Male,Education,8.73,1.62,77.8,74.9,3,3,3,3,3,4,Pass,528.8
2026-02-21 10:20:20,2026-02-21 10:20:20,IP Address,,100,898,True,2026-02-21 10:20:20,R_E_0020,,,,,,,anonymous,EN,Male,Business,6.56,1.83,60.8,57.3,4,2,3,4,,3,Fail,399.3
2026-02-22 11:27:33,2026-02-22 11:27:33,IP Address,,100,529,True,2026-02-22 11:27:33,R_E_0021,,,,,,,anonymous,EN,Female,Psychology,11.1,1.73,47.3,59.4,5,4,4,3,3,5,Fail,677.4
2026-02-23 12:34:46,2026-02-23 12:34:46,IP Address,,100,581,True,2026-02-23 12:34:46,R_E_0022,,,,,,,anonymous,EN,Male,Education,9.61,1.89,85.6,73.8,5,4,4,3,4,3,Pass,559.7
2026-02-24 13:41:59,2026-02-24 13:41:59,IP Address,,100,745,True,2026-02-24 13:41:59,R_E_0023,,,,,,,anonymous,EN,Female,Psychology,9.42,2.36,85.6,75.7,4,5,3,3,3,4,Pass,589.2
2026-02-25 14:48:12,2026-02-25 14:48:12,IP Address,,100,181,True,2026-02-25 14:48:12,R_E_0024,,,,,,,anonymous,EN,Female,Education,3.71,2.47,50.6,57.0,2,2,3,3,4,3,Fail,222.6
2026-02-26 15:55:25,2026-02-26 15:55:25,IP Address,,100,588,True,2026-02-26 15:55:25,R_E_0025,,,,,,,anonymous,EN,Male,Psychology,1.34,1.54,55.5,48.3,2,4,2,3,3,3,Fail,86.8
2026-02-27 16:02:38,2026-02-27 16:02:38,IP Address,,100,694,True,2026-02-27 16:02:38,R_E_0026,,,,,,,anonymous,EN,Nonbinary,Business,7.54,1.75,68.5,69.9,2,3,3,3,3,3,Pass,447.6
2026-02-01 08:09:51,2026-02-01 08:09:51,IP Address,,100,857,True,2026-02-01 08:09:51,R_E_0027,,,,,,,anonymous,EN,Male,Education,5.24,2.29,66.5,65.6,1,,2,3,2,3,Pass,309.8
2026-02-02 09:16:04,2026-02-02 09:16:04,IP Address,,100,200,True,2026-02-02 09:16:04,R_E_0028,,,,,,,anonymous,EN,Male,Education,12.81,1.88,70.2,80.2,2,,3,2,3,4,Pass,762.6
