StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,SC0
StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Which group are you in?,Knowledge item 1: which statement is correct?,Knowledge item 2: which statement is correct?,Knowledge item 3: which statement is correct?,Knowledge item 4: which statement is correct?,Knowledge item 5: which statement is correct?,Knowledge item 6: which statement is correct?,Knowledge item 7: which statement is correct?,Knowledge item 8: which statement is correct?,Knowledge item 9: which statement is correct?,Knowledge item 10: which statement is correct?,Knowledge item 11: which statement is correct?,Knowledge item 12: which statement is correct?,Knowledge item 13: which statement is correct?,Knowledge item 14: which statement is correct?,Knowledge item 15: which statement is correct?,Knowledge item 16: which statement is correct?,Knowledge item 17: which statement is correct?,Knowledge item 18: which statement is correct?,Knowledge item 19: which statement is correct?,Knowledge item 20: which statement is correct?,Total score (auto-scored)
"{""ImportId"": ""StartDate""}","{""ImportId"": ""EndDate""}","{""ImportId"": ""Status""}","{""ImportId"": ""IPAddress""}","{""ImportId"": ""Progress""}","{""ImportId"": ""Duration (in seconds)""}","{""ImportId"": ""Finished""}","{""ImportId"": ""RecordedDate""}","{""ImportId"": ""ResponseId""}","{""ImportId"": ""RecipientLastName""}","{""ImportId"": ""RecipientFirstName""}","{""ImportId"": ""RecipientEmail""}","{""ImportId"": ""ExternalReference""}","{""ImportId"": ""LocationLatitude""}","{""ImportId"": ""LocationLongitude""}","{""ImportId"": ""DistributionChannel""}","{""ImportId"": ""UserLanguage""}","{""ImportId"": ""Q2""}","{""ImportId"": ""Q4_1""}","{""ImportId"": ""Q4_2""}","{""ImportId"": ""Q4_3""}","{""ImportId"": ""Q4_4""}","{""ImportId"": ""Q4_5""}","{""ImportId"": ""Q4_6""}","{""ImportId"": ""Q4_7""}","{""ImportId"": ""Q4_8""}","{""ImportId"": ""Q4_9""}","{""ImportId"": ""Q4_10""}","{""ImportId"": ""Q4_11""}","{""ImportId"": ""Q4_12""}","{""ImportId"": ""Q4_13""}","{""ImportId"": ""Q4_14""}","{""ImportId"": ""Q4_15""}","{""ImportId"": ""Q4_16""}","{""ImportId"": ""Q4_17""}","{""ImportId"": ""Q4_18""}","{""ImportId"": ""Q4_19""}","{""ImportId"": ""Q4_20""}","{""ImportId"": ""SC0""}"
2026-02-08 15:28:52,2026-02-08 15:28:52,IP Address,,100,405,True,2026-02-08 15:28:52,R_B_FU_0304,,,,,,,anonymous,EN,Intervention A,B,A,D,D,B,C,B,C,B,A,C,B,A,D,C,C,B,B,B,B,15
2026-02-26 15:25:55,2026-02-26 15:25:55,IP Address,,100,249,True,2026-02-26 15:25:55,R_B_FU_0295,,,,,,,anonymous,EN,Intervention A,D,C,C,D,C,D,B,A,B,B,C,C,C,B,C,C,B,D,B,D,12
2026-02-27 16:41:59,2026-02-27 16:41:59,IP Address,,100,82,True,2026-02-27 16:41:59,R_B_FU_0323,,,,,,,anonymous,EN,Intervention B,A,C,D,D,B,A,B,C,B,D,C,B,A,B,C,D,D,D,B,A,14
2026-02-08 15:19:01,2026-02-08 15:19:01,IP Address,,100,760,True,2026-02-08 15:19:01,R_B_FU_0277,,,,,,,anonymous,EN,Control,D,B,D,D,B,A,D,C,A,C,C,B,A,B,C,A,D,B,B,A,13
2026-02-22 11:15:45,2026-02-22 11:15:45,IP Address,,100,540,True,2026-02-22 11:15:45,R_B_FU_0345,,,,,,,anonymous,EN,Intervention B,D,C,D,D,B,A,B,C,B,B,C,B,A,B,B,C,B,B,B,D,18
2026-02-12 10:56:44,2026-02-12 10:56:44,IP Address,,100,369,True,2026-02-12 10:56:44,R_B_FU_0308,,,,,,,anonymous,EN,Intervention A,D,C,B,B,C,B,A,C,B,B,C,B,A,B,C,C,A,B,B,B,14
2026-02-13 11:12:48,2026-02-13 11:12:48,IP Address,,100,533,True,2026-02-13 11:12:48,R_B_FU_0336,,,,,,,anonymous,EN,Intervention B,C,A,C,D,B,A,B,C,B,B,C,B,A,C,B,D,A,D,C,B,11
2026-02-06 13:05:35,2026-02-06 13:05:35,IP Address,,100,733,True,2026-02-06 13:05:35,R_B_FU_0275,,,,,,,anonymous,EN,Control,A,D,C,D,A,A,B,C,A,B,A,A,A,D,C,A,B,B,B,B,11
2026-02-21 10:08:32,2026-02-21 10:08:32,IP Address,,100,271,True,2026-02-21 10:08:32,R_B_FU_0344,,,,,,,anonymous,EN,Intervention B,D,A,D,D,A,B,C,D,B,D,B,A,B,C,C,B,B,C,D,D,6
2026-02-04 11:00:00,2026-02-04 11:00:00,IP Address,,100,263,True,2026-02-04 11:00:00,R_B_FU_0300,,,,,,,anonymous,EN,Intervention A,D,A,D,D,D,A,B,A,D,C,D,B,A,D,C,D,C,A,B,C,9
