StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,SC0
StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Which group are you in?,Knowledge item 1: which statement is correct?,Knowledge item 2: which statement is correct?,Knowledge item 3: which statement is correct?,Knowledge item 4: which statement is correct?,Knowledge item 5: which statement is correct?,Knowledge item 6: which statement is correct?,Knowledge item 7: which statement is correct?,Knowledge item 8: which statement is correct?,Knowledge item 9: which statement is correct?,Knowledge item 10: which statement is correct?,Knowledge item 11: which statement is correct?,Knowledge item 12: which statement is correct?,Knowledge item 13: which statement is correct?,Knowledge item 14: which statement is correct?,Knowledge item 15: which statement is correct?,Knowledge item 16: which statement is correct?,Knowledge item 17: which statement is correct?,Knowledge item 18: which statement is correct?,Knowledge item 19: which statement is correct?,Knowledge item 20: which statement is correct?,Total score (auto-scored)
"{""ImportId"": ""StartDate""}","{""ImportId"": ""EndDate""}","{""ImportId"": ""Status""}","{""ImportId"": ""IPAddress""}","{""ImportId"": ""Progress""}","{""ImportId"": ""Duration (in seconds)""}","{""ImportId"": ""Finished""}","{""ImportId"": ""RecordedDate""}","{""ImportId"": ""ResponseId""}","{""ImportId"": ""RecipientLastName""}","{""ImportId"": ""RecipientFirstName""}","{""ImportId"": ""RecipientEmail""}","{""ImportId"": ""ExternalReference""}","{""ImportId"": ""LocationLatitude""}","{""ImportId"": ""LocationLongitude""}","{""ImportId"": ""DistributionChannel""}","{""ImportId"": ""UserLanguage""}","{""ImportId"": ""Q2""}","{""ImportId"": ""Q4_1""}","{""ImportId"": ""Q4_2""}","{""ImportId"": ""Q4_3""}","{""ImportId"": ""Q4_4""}","{""ImportId"": ""Q4_5""}","{""ImportId"": ""Q4_6""}","{""ImportId"": ""Q4_7""}","{""ImportId"": ""Q4_8""}","{""ImportId"": ""Q4_9""}","{""ImportId"": ""Q4_10""}","{""ImportId"": ""Q4_11""}","{""ImportId"": ""Q4_12""}","{""ImportId"": ""Q4_13""}","{""ImportId"": ""Q4_14""}","{""ImportId"": ""Q4_15""}","{""ImportId"": ""Q4_16""}","{""ImportId"": ""Q4_17""}","{""ImportId"": ""Q4_18""}","{""ImportId"": ""Q4_19""}","{""ImportId"": ""Q4_20""}","{""ImportId"": ""SC0""}"
2026-02-20 09:07:13,2026-02-20 09:07:13,IP Address,,100,520,True,2026-02-20 09:07:13,R_B_POST_0181,,,,,,,anonymous,EN,Intervention A,D,A,D,D,B,A,A,C,B,B,C,B,A,B,C,B,A,D,B,B,15
2026-02-01 08:12:48,2026-02-01 08:12:48,IP Address,,100,648,True,2026-02-01 08:12:48,R_B_POST_0216,,,,,,,anonymous,EN,Intervention B,B,D,D,D,B,A,B,B,B,B,C,B,A,B,C,B,B,B,B,A,15
2026-02-18 16:02:38,2026-02-18 16:02:38,IP Address,,100,113,True,2026-02-18 16:02:38,R_B_POST_0206,,,,,,,anonymous,EN,Intervention A,D,C,D,D,B,C,C,C,B,B,C,A,C,B,D,A,B,B,B,B,14
2026-02-14 12:43:37,2026-02-14 12:43:37,IP Address,,100,692,True,2026-02-14 12:43:37,R_B_POST_0229,,,,,,,anonymous,EN,Intervention B,C,C,D,D,B,A,B,C,D,D,B,B,A,A,C,A,B,A,B,B,13
2026-02-11 09:31:49,2026-02-11 09:31:49,IP Address,,100,324,True,2026-02-11 09:31:49,R_B_POST_0253,,,,,,,anonymous,EN,Intervention B,D,C,D,A,B,A,C,C,B,B,B,B,D,B,C,B,B,B,B,B,15
2026-02-03 10:59:41,2026-02-03 10:59:41,IP Address,,100,856,True,2026-02-03 10:59:41,R_B_POST_0137,,,,,,,anonymous,EN,Control,D,A,C,B,B,A,B,C,C,B,B,B,A,B,C,B,B,D,B,D,12
2026-02-09 16:50:50,2026-02-09 16:50:50,IP Address,,100,369,True,2026-02-09 16:50:50,R_B_POST_0170,,,,,,,anonymous,EN,Control,A,C,C,D,B,A,A,A,A,D,C,B,C,B,C,A,B,B,B,A,11
2026-02-17 15:04:16,2026-02-17 15:04:16,IP Address,,100,609,True,2026-02-17 15:04:16,R_B_POST_0232,,,,,,,anonymous,EN,Intervention B,D,C,D,D,B,A,B,A,B,B,C,A,A,B,C,C,B,C,B,A,16
2026-02-17 15:55:25,2026-02-17 15:55:25,IP Address,,100,378,True,2026-02-17 15:55:25,R_B_POST_0205,,,,,,,anonymous,EN,Intervention A,A,C,D,D,B,D,B,C,B,B,B,B,C,B,B,C,B,B,B,B,15
2026-02-19 08:00:00,2026-02-19 08:00:00,IP Address,,100,791,True,2026-02-19 08:00:00,R_B_POST_0180,,,,,,,anonymous,EN,Intervention A,C,C,D,C,B,B,B,C,B,B,B,B,A,B,C,D,D,A,B,D,12
