StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,SC0
StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Which group are you in?,Knowledge item 1: which statement is correct?,Knowledge item 2: which statement is correct?,Knowledge item 3: which statement is correct?,Knowledge item 4: which statement is correct?,Knowledge item 5: which statement is correct?,Knowledge item 6: which statement is correct?,Knowledge item 7: which statement is correct?,Knowledge item 8: which statement is correct?,Knowledge item 9: which statement is correct?,Knowledge item 10: which statement is correct?,Knowledge item 11: which statement is correct?,Knowledge item 12: which statement is correct?,Knowledge item 13: which statement is correct?,Knowledge item 14: which statement is correct?,Knowledge item 15: which statement is correct?,Knowledge item 16: which statement is correct?,Knowledge item 17: which statement is correct?,Knowledge item 18: which statement is correct?,Knowledge item 19: which statement is correct?,Knowledge item 20: which statement is correct?,Total score (auto-scored)
"{""ImportId"": ""StartDate""}","{""ImportId"": ""EndDate""}","{""ImportId"": ""Status""}","{""ImportId"": ""IPAddress""}","{""ImportId"": ""Progress""}","{""ImportId"": ""Duration (in seconds)""}","{""ImportId"": ""Finished""}","{""ImportId"": ""RecordedDate""}","{""ImportId"": ""ResponseId""}","{""ImportId"": ""RecipientLastName""}","{""ImportId"": ""RecipientFirstName""}","{""ImportId"": ""RecipientEmail""}","{""ImportId"": ""ExternalReference""}","{""ImportId"": ""LocationLatitude""}","{""ImportId"": ""LocationLongitude""}","{""ImportId"": ""DistributionChannel""}","{""ImportId"": ""UserLanguage""}","{""ImportId"": ""Q2""}","{""ImportId"": ""Q4_1""}","{""ImportId"": ""Q4_2""}","{""ImportId"": ""Q4_3""}","{""ImportId"": ""Q4_4""}","{""ImportId"": ""Q4_5""}","{""ImportId"": ""Q4_6""}","{""ImportId"": ""Q4_7""}","{""ImportId"": ""Q4_8""}","{""ImportId"": ""Q4_9""}","{""ImportId"": ""Q4_10""}","{""ImportId"": ""Q4_11""}","{""ImportId"": ""Q4_12""}","{""ImportId"": ""Q4_13""}","{""ImportId"": ""Q4_14""}","{""ImportId"": ""Q4_15""}","{""ImportId"": ""Q4_16""}","{""ImportId"": ""Q4_17""}","{""ImportId"": ""Q4_18""}","{""ImportId"": ""Q4_19""}","{""ImportId"": ""Q4_20""}","{""ImportId"": ""SC0""}"
2026-02-26 15:04:16,2026-02-26 15:04:16,IP Address,,100,279,True,2026-02-26 15:04:16,R_B_PRE_0052,,,,,,,anonymous,EN,Intervention A,C,D,A,A,C,B,B,C,B,C,A,B,D,B,C,A,B,B,D,B,9
2026-02-21 10:20:20,2026-02-21 10:20:20,IP Address,,100,505,True,2026-02-21 10:20:20,R_B_PRE_0020,,,,,,,anonymous,EN,Control,A,D,C,D,C,B,B,A,D,B,B,C,C,A,B,B,A,C,B,D,4
2026-02-01 08:45:15,2026-02-01 08:45:15,IP Address,,100,125,True,2026-02-01 08:45:15,R_B_PRE_0135,,,,,,,anonymous,EN,Intervention B,C,C,D,C,B,C,A,C,C,B,C,D,B,B,C,D,C,D,B,A,9
2026-02-19 08:33:27,2026-02-19 08:33:27,IP Address,,100,700,True,2026-02-19 08:33:27,R_B_PRE_0099,,,,,,,anonymous,EN,Intervention B,D,C,D,A,B,A,B,C,A,B,A,D,B,B,B,A,C,A,B,C,10
2026-02-08 15:07:13,2026-02-08 15:07:13,IP Address,,100,418,True,2026-02-08 15:07:13,R_B_PRE_0061,,,,,,,anonymous,EN,Intervention A,D,C,D,C,A,D,B,A,D,C,C,B,C,C,C,A,C,B,B,D,9
2026-02-01 08:09:51,2026-02-01 08:09:51,IP Address,,100,771,True,2026-02-01 08:09:51,R_B_PRE_0027,,,,,,,anonymous,EN,Control,C,B,B,B,A,A,C,C,C,C,A,B,A,A,B,C,A,B,B,C,7
2026-02-14 12:31:49,2026-02-14 12:31:49,IP Address,,100,656,True,2026-02-14 12:31:49,R_B_PRE_0013,,,,,,,anonymous,EN,Control,D,D,D,D,B,D,B,C,B,C,D,C,A,D,D,D,A,C,B,A,9
2026-02-11 09:46:34,2026-02-11 09:46:34,IP Address,,100,782,True,2026-02-11 09:46:34,R_B_PRE_0118,,,,,,,anonymous,EN,Intervention B,B,C,D,D,B,B,B,C,B,B,C,D,A,B,C,A,B,B,B,B,16
2026-02-02 09:43:37,2026-02-02 09:43:37,IP Address,,100,447,True,2026-02-02 09:43:37,R_B_PRE_0109,,,,,,,anonymous,EN,Intervention B,D,C,D,B,B,A,C,D,B,B,C,B,A,B,C,C,D,B,D,B,15
2026-02-06 13:35:05,2026-02-06 13:35:05,IP Address,,100,686,True,2026-02-06 13:35:05,R_B_PRE_0005,,,,,,,anonymous,EN,Control,C,B,A,C,D,D,C,A,B,B,D,C,C,B,A,B,D,A,D,C,3
